Underground-1,depicts-2,life-4:recipient
<NULL>,are-32,<NULL>
film-2,opens-3,Belgrade-5:is_participant_in
Marko_Dren-31,heading-33,home-34:recipient
<NULL>,following-35,<NULL>
<NULL>,are-32,<NULL>
April-19,vivants-26,morning-16:time
April-19,vivants-26,Crni-29:recipient
vivants-15,shooting-20,<NULL>
orchestra-13,tailed-7,<NULL>
vivants-15,singing-18,drunkenly-17:modifier
vivants-15,singing-18,way-22:recipient
<NULL>,serenaded-9,<NULL>
Ivan-12,'s-14,keeper-17:recipient
vivants-1,shout-6,salutes-7:recipient
vivants-1,shout-6,brother-11:attachment
vivants-1,pass-2,Ivan-12:recipient
<NULL>,is-9,<NULL>
<NULL>,listening-28,bulletins-33:recipient
stutterer-22,records-23,warmly-20:modifier
stutterer-22,records-23,amounts-26:recipient
stutterer-2,feed-13,vivants-19:attachment
stutterer-2,feed-13,waves-17:recipient
stutterer-2,feed-13,animals-15:recipient
Vera-18,comes-19,out-20:verb_complement
<NULL>,left-39,Marko-40:recipient
duo-4,pulls-5,up-6:verb_complement
duo-4,pulls-5,home-12:prep_in_front_of
Vera-19,process-34,properly-33:modifier
Vera-19,process-34,piece-36:recipient
vivants-11,enrolled-12,Blacky-13:recipient
Vera-8,know-9,<NULL>
Marko-2,pulls-3,aside-5:modifier
Marko-2,pulls-3,Vera-4:recipient
Marko-2,lets-7,<NULL>
Vera-19,'s-20,<NULL>
Blacky-1,picks-11,prostitute-15:recipient
Blacky-1,picks-11,house-21:modified_to
Blacky-1,picks-11,up-12:verb_complement
Blacky-1,goes-2,house-5:modified_to
Blacky-1,picks-11,prostitute-15:recipient
Blacky-1,picks-11,house-21:modified_to
Blacky-1,picks-11,up-12:verb_complement
Marko-7,proceeds-8,on-9:verb_complement
Marko-47,preparing-49,sex-51:destination
<NULL>,feed-23,animals-25:recipient
Blacky-28,eating-30,breakfast-31:recipient
prostitute-60,take-61,scrub-63:recipient
Marko-57,watches-59,lecherously-58:modifier
Vera-34,complains-35,affair-40:location_of
Ivan-15,making-17,zoo-21:site
Ivan-15,making-17,rounds-18:recipient
Sunday-12,dawns-13,<NULL>
<NULL>,supposed-39,<NULL>
War-3,1941-4,couple-6:recipient
War-3,1941-4,later-9:modifier
bombs-13,begin-14,<NULL>
<NULL>,heard-9,roar-4:recipient
<NULL>,heard-9,Suddenly-1:modifier
Blacky-13,show-16,signs-18:recipient
Blacky-13,show-16,chaos-4:is_participant_in
Marko-15,show-16,signs-18:recipient
Marko-15,show-16,chaos-4:is_participant_in
<NULL>,ensuing-3,<NULL>
Blacky-13,show-16,signs-18:recipient
Blacky-13,show-16,chaos-4:is_participant_in
Marko-15,show-16,signs-18:recipient
Marko-15,show-16,chaos-4:is_participant_in
people-7,run-8,cover-10:destination
latter-32,climax-36,<NULL>
<NULL>,is-33,<NULL>
horror-56,forcing-58,Marko-59:recipient
horror-56,forcing-58,thus-57:modifier
<NULL>,cursing-14,Nazis-16:recipient
breakfast-12,frightened-47,bombs-50:time_between
prostitute-52,runs-53,away-54:verb_complement
stubbornly-3,sits-4,table-8:site
<NULL>,is-5,<NULL>
Blacky-8,inspects-19,city-22:recipient
Blacky-8,goes-9,wishes-13:object
Blacky-8,goes-9,out-10:verb_complement
<NULL>,buy-38,monkey-42:destination
<NULL>,buy-38,milk-39:recipient
<NULL>,crying-18,<NULL>
piece-4,is-14,Stop-17:recipient
You-19,want-20,Germans-22:recipient
Nazis-9,occupy-11,soon-10:modifier
Nazis-9,dismember-13,Kingdom-16:recipient
<NULL>,broken-6,resistance-3:recipient
<NULL>,broken-6,quickly-5:modifier
<NULL>,operating-3,<NULL>
Blacky-1,starts-2,clandestinely-4:recipient
activism-2,consists-4,mostly-3:modifier
<NULL>,stealing-6,elite-21:performer
<NULL>,stealing-6,valuables-16:recipient
<NULL>,stealing-6,shipments-9:recipient
idea-5,is-6,theory-2:is_participant_in
money-13,using-41,rackets-43:recipient
<NULL>,'s-5,<NULL>
brigade-18,helping-21,control-30:prep_under
brigade-18,helping-21,effort-26:recipient
<NULL>,assigned-11,Natalija_Zovkov-7:recipient
<NULL>,assigned-11,actors-15:attachment
Blacky-1,visits-3,occasionally-2:modifier
Zovkov-27,has-28,Bata-34:recipient
<NULL>,care-37,<NULL>
<NULL>,take-36,<NULL>
actress-8,finding-16,acclaimed-17:modifier
Germans-63,set-65,capture-69:destination
<NULL>,sent-48,camp-52:attachment
necklace-20,cheers-23,her-24:recipient
necklace-20,cheers-23,momentarily-26:modifier
necklace-20,cheers-23,up-25:verb_complement
<NULL>,stolen-19,<NULL>
Zovkov-10,cleaning-12,bricks-13:recipient
Zovkov-10,cleaning-12,where-9:modifier
<NULL>,fearing-38,<NULL>
Zovkov-29,sees-32,now-30:modifier
Zovkov-29,sees-32,relationship-34:recipient
Zovkov-29,sees-32,generally-31:modifier
Zovkov-56,heard-57,especially-54:modifier
Zovkov-56,heard-57,prize-61:location_of
relationship-40,bring-43,trouble-45:recipient
relationship-40,bring-43,only-42:modifier
relationship-40,bring-43,could-41:modal_verb
Blacky-15,brings-16,necklace-20:recipient
Blacky-15,brings-16,Zovkov-17:recipient
<NULL>,are-42,<NULL>
Franz-20,indulge-27,Zovkov-28:recipient
Franz-20,pay-30,medicine-34:destination
Franz-20,is-22,<NULL>
<NULL>,highranking-16,<NULL>
Zovkov-3,'s-4,However-1:modifier
Zovkov-3,'s-4,not-5:negative
Zovkov-9,caught-11,eye-13:recipient
<NULL>,named-19,Franz-20:recipient
Marko-3,set-5,up-6:verb_complement
Marko-3,set-5,cellar-14:is_participant_in
Marko-3,set-5,spot-11:recipient
Marko-3,set-5,Meanwhile-1:modifier
Marko-3,set-5,storage-8:recipient
name-17,mentioned-15,Blacky-13:recipient
name-17,mentioned-15,interception-3:prep_following
name-17,mentioned-15,Marko-11:recipient
<NULL>,are-14,<NULL>
<NULL>,identified-19,Marko-11:recipient
<NULL>,Following-1,<NULL>
<NULL>,hide-31,<NULL>
Blacky-2,hiding-5,off-4:modifier
Blacky-2,hiding-5,woods-8:is_participant_in
<NULL>,hide-31,<NULL>
Marko-19,takes-20,others-26:recipient
Marko-19,takes-20,Vera-21:recipient
Marko-19,takes-20,Ivan-23:recipient
Marko-19,takes-20,cellar-29:modified_to
<NULL>,hide-31,<NULL>
Germans-10,intensifying-12,raids-14:recipient
Germans-10,intensifying-12,city-17:is_participant_in
Vera-1,is-2,<NULL>
Vera-1,gets-7,contractions-8:recipient
Vera-1,gets-7,immediately-9:modifier
<NULL>,entering-11,cellar-13:recipient
Vera-1,feeling-4,not-3:negative
Vera-1,feeling-4,physically-6:modifier
Vera-1,feeling-4,emotionally-8:modifier
Vera-1,is-11,<NULL>
<NULL>,being-17,<NULL>
Blacky-30,'s-31,rages-40:recipient
Blacky-44,is-45,town-47:is_participant_in
<NULL>,passing-18,away-19:verb_complement
Vera-9,instructs-10,Ivan-11:recipient
occasion-3,being-4,<NULL>
<NULL>,brash-15,<NULL>
son-7,'s-8,element-12:is_participant_in
<NULL>,showing-34,photo-39:recipient
<NULL>,showing-34,proudly-33:modifier
<NULL>,ordering-28,rounds-29:recipient
<NULL>,lighting-19,around-40:modifier
<NULL>,lighting-19,candle-21:recipient
<NULL>,proceeding-21,room-25:modified_to
Marko-1,greets-18,warmly-17:modifier
