man-14,named-15,where-11:modifier
film-2,opens-3,streets-7:is_participant_in
Octavio-16,speeding-23,down-24:verb_complement
Octavio-16,speeding-23,road-26:recipient
Jorge-21,speeding-23,down-24:verb_complement
Jorge-21,speeding-23,road-26:recipient
rottweiler-15,lies-7,dog-10:recipient
rottweiler-15,lies-7,backseat-3:is_participant_in
who-16,bleeding-18,<NULL>
Octavio-1,freaking-3,out-4:verb_complement
Octavio-9,has-10,not-6:dependent
Octavio-9,has-10,just-7:modifier
Octavio-3,wrecks-8,car-11:recipient
Octavio-3,wrecks-8,intersection-14:site
Octavio-3,loses-4,Eventually-1:modifier
Octavio-3,loses-4,Octavio-5:recipient
wreck-2,sets-3,stage-5:recipient
Gerardo-30,held-26,<NULL>
We-1,cut-3,then-2:modifier
We-1,cut-3,back-4:modifier
We-1,cut-3,days-7:time
<NULL>,known-32,<NULL>
dog-3,wins-4,fight-6:recipient
Jarocho-14,collects-15,<NULL>
<NULL>,walk-42,away-43:verb_complement
Jarocho-9,decides-10,<NULL>
Jarocho-1,feeling-3,mighty-7:object
Jarocho-1,feeling-3,high-5:object
Jarocho-3,sees-4,<NULL>
Jarocho-21,lets-22,Instead-1:modifier
We-1,see-3,then-2:modifier
Octavio-1,is-2,love-5:is_participant_in
Octavio-1,is-2,secretly-3:modifier
Ramiro-11,cheats-16,<NULL>
Ramiro-11,cheats-16,<NULL>
Ramiro-11,beats-14,<NULL>
Octavio-1,despises-10,Ramiro-11:recipient
baby-27,frustrates-30,Susana-31:recipient
<NULL>,is-10,<NULL>
Ramiro-1,works-2,so-16:dependent
Ramiro-1,works-2,supermarket-8:site
Ramiro-8,'s-11,stations-15:recipient
<NULL>,earn-2,cash-6:recipient
Ramiro-18,needs-19,<NULL>
Ramiro-7,get-14,money-17:recipient
Ramiro-7,rob-9,will-8:modal_verb
Ramiro-7,rob-9,day-2:time
Ramiro-7,rob-9,bank-11:recipient
Ramiro-18,needs-19,<NULL>
Ramiro-7,get-14,money-17:recipient
Ramiro-4,says-5,<NULL>
Jorge-1,tells-10,Jorge-11:recipient
Jorge-1,shows-3,up-4:verb_complement
Jorge-1,shows-3,eventually-2:modifier
Jorge-1,shows-3,Octavio-6:site
Cofi-1,sits-12,master-16:means
Cofi-1,covered-7,blood-9:is_participant_in
Cofi-1,sits-12,master-16:means
Cofi-1,runs-2,up-3:verb_complement
Cofi-1,runs-2,Octavio-5:attachment
Jarocho-3,drives-4,up-5:verb_complement
Octavio-26,lend-28,can-27:modal_verb
Octavio-26,lend-28,Suddenly-1:modifier
Octavio-26,lend-28,Jarocho-31:attachment
Octavio-26,lend-28,Cofi-29:recipient
dog-21,is-22,<NULL>
Jarocho-3,demands-7,<NULL>
Octavio-14,lose-16,now-17:modifier
Octavio-14,lose-16,will-15:modal_verb
Octavio-9,give-10,money-13:recipient
Octavio-9,give-10,Octavio-11:recipient
Octavio-11,owes-12,Octavio-13:recipient
Jarocho-5,says-9,<NULL>
Jarocho-5,threatens-6,Jarocho-7:recipient
Octavio-1,refuses-2,<NULL>
Jarocho-5,drives-6,away-7:verb_complement
Octavio-1,laughs-3,just-2:modifier
<NULL>,gives-2,idea-5:recipient
<NULL>,gives-2,Octavio-3:recipient
Octavio-1,decides-2,<NULL>
Fatso-9,says-17,<NULL>
Octavio-13,participate-14,<NULL>
Fatso-9,says-17,<NULL>
Cofi-3,win-4,fight-6:recipient
Cofi-3,win-4,quickly-7:modifier
Fatso-9,says-17,<NULL>
Fatso-9,agrees-10,<NULL>
Cofi-19,is-20,<NULL>
Cofi-17,kills-18,fight-19:recipient
Cofi-17,kills-18,everytime-15:modifier
time-2,'s-4,fight-6:recipient
Octavio-3,raking-5,cash-9:is_participant_in
Octavio-3,raking-5,Soon-1:modifier
dog-18,live-25,<NULL>
dog-18,live-25,<NULL>
dog-18,open-20,where-17:modifier
dog-18,open-20,shop-23:recipient
dog-18,open-20,could-19:modal_verb
Octavio-5,asks-6,Susana-7:recipient
cash-1,is-2,now-3:modifier
love-7,is-8,Ramiro-10:with_respect_to
<NULL>,saying-5,<NULL>
Susana-1,refuses-3,politely-2:modifier
Ramiro-16,finds-17,out-18:verb_complement
Susana-3,is-10,<NULL>
Susana-3,be-22,<NULL>
Octavio-1,promises-2,<NULL>
Ramiro-10,buys-15,baby-20:destination
Ramiro-10,buys-15,supplies-17:recipient
