Hardy-8,was-9,warrior-15:recipient
<NULL>,running-24,thoughts-28:performer
Max_Rockatansky_Tom_Hardy-1,explains-2,narration-6:is_participant_in
<NULL>,failed-41,Hardy-39:recipient
<NULL>,eating-13,lizard-14:recipient
lizard-3,crawls-4,stomps-9:prep_near
<NULL>,covered-23,blisters-25:is_participant_in
<NULL>,covered-23,blisters-25:is_participant_in
Boys-16,are-19,<NULL>
group-10,pursued-7,quickly-6:modifier
group-10,pursued-7,Max-1:recipient
<NULL>,covered-23,blisters-25:is_participant_in
<NULL>,covered-23,blisters-25:is_participant_in
Boys-16,are-19,<NULL>
Max-1,drives-2,off-3:verb_complement
Boys-1,cause-8,Max-9:recipient
Max-9,crash-11,Max-15:is_before_location
Boys-1,chase-2,Max-3:recipient
Boys-3,take-4,Max-5:recipient
Boys-1,shave-2,head-5:recipient
Boys-1,shave-2,face-7:recipient
Max-10,is-11,donor-15:recipient
Boys-17,intend-18,<NULL>
Max-3,saying-9,back-5:modifier
Max-15,breaks-16,free-17:object
Max-1,is-2,<NULL>
Max-15,breaks-16,free-17:object
<NULL>,engulfed-11,fire-13:is_participant_in
Max-15,runs-19,Boys-23:origin_value
chase-2,shows-3,<NULL>
Citadel-6,is-7,<NULL>
Citadel-6,has-10,supply-14:recipient
Max-14,makes-15,dead-16:object
Max-5,continues-6,<NULL>
Max-14,makes-15,dead-16:object
Max-14,makes-15,dead-16:object
Max-5,see-8,images-9:recipient
Max-2,runs-3,<NULL>
exit-19,'s-21,<NULL>
Max-11,keeps-12,<NULL>
Max-1,latches-5,hook-8:prep_onto
Max-11,keeps-12,<NULL>
Max-1,jumps-2,out-3:verb_complement
survivors-11,played-26,Toecutter-29:recipient
survivors-11,played-26,also-25:modifier
survivors-11,played-26,film-35:is_participant_in
leader-16,lorded-12,over-13:verb_complement
community-9,is-6,Citadel-3:is_participant_in
<NULL>,help-23,breathe-25:recipient
Joe-1,wears-2,mask-6:recipient
<NULL>,help-23,breathe-25:recipient
<NULL>,set-11,pair-15:is_participant_in
<NULL>,help-23,breathe-25:recipient
<NULL>,made-7,<NULL>
everyone-10,fight-14,water-16:destination
everyone-10,go-11,crazy-12:object
Joe-1,supplies-2,people-4:recipient
Joe-1,warns-2,people-4:recipient
<NULL>,addicted-8,water-10:attachment
Joe-1,sends-3,then-2:modifier
Joe-1,sends-3,commander-6:recipient
Theron-10,collect-18,Gas_Town-21:raw_material
Theron-10,collect-18,gasoline-19:recipient
Furiosa-1,left-11,hand-14:recipient
Furiosa-1,left-11,arm-12:recipient
Furiosa-1,left-11,lower-10:modifier
Furiosa-1,left-11,prosthesis-5:recipient
Furiosa-5,heads-13,east-14:modifier
Furiosa-5,diverts-6,Gas_Town-11:attachment
Furiosa-5,diverts-6,path-9:raw_material
Joe-14,keeps-15,wives-19:recipient
Joe-14,keeps-15,where-13:modifier
Joe-1,runs-8,chambers-12:attachment
<NULL>,alerted-3,Joe-1:recipient
<NULL>,alerted-3,movement-6:attachment
Joe-29,own-32,human-34:recipient
Joe-29,own-32,not-31:negative
Joe-29,own-32,can-30:modal_verb
<NULL>,gone-4,wives-1:recipient
<NULL>,gone-4,all-3:modifier
<NULL>,says-11,warlords-17:dependent
woman-25,tells-26,Joe-27:recipient
children-13,be-16,<NULL>
Joe-11,go-18,<NULL>
Joe-11,rally-13,Boys-16:recipient
Joe-11,go-18,<NULL>
<NULL>,prompting-10,Joe-11:recipient
Joe-11,go-18,<NULL>
Furiosa-1,taking-3,women-5:recipient
<NULL>,connected-39,driver-42:attachment
<NULL>,chained-35,Nux-37:attachment
<NULL>,connected-39,driver-42:attachment
one-13,called-14,<NULL>
<NULL>,connected-39,driver-42:attachment
<NULL>,chained-35,Nux-37:attachment
<NULL>,connected-39,driver-42:attachment
Boys-4,are-5,<NULL>
Boys-4,is-17,<NULL>
<NULL>,connected-39,driver-42:attachment
<NULL>,chained-35,Nux-37:attachment
<NULL>,connected-39,driver-42:attachment
one-13,called-14,<NULL>
<NULL>,connected-39,driver-42:attachment
<NULL>,chained-35,Nux-37:attachment
<NULL>,connected-39,driver-42:attachment
Boys-4,join-8,chase-10:recipient
Immortan_Joe-6,deliver-8,Boys-9:recipient
Immortan_Joe-6,deliver-8,gates-12:attachment
Immortan_Joe-6,deliver-8,can-7:modal_verb
Boys-3,believe-4,so-16:dependent
Nux-17,risk-21,death-22:recipient
Boys-3,ride-4,<NULL>
Nux-1,chases-19,eagerly-18:modifier
Nux-1,chases-19,Furiosa-20:recipient
Nux-1,straps-2,Max-3:recipient
Furiosa-11,shakes-12,off-16:modifier
others-1,attempt-2,<NULL>
Max-8,attempts-9,<NULL>
Furiosa-1,drives-2,storm-8:prep_toward
others-9,head-10,tornadoes-14:time_inside
others-9,head-10,even-7:modifier
Nux-1,continues-2,<NULL>
<NULL>,causing-21,crash-24:attachment
<NULL>,causing-21,Nux-22:recipient
<NULL>,are-15,<NULL>
<NULL>,causing-21,crash-24:attachment
<NULL>,causing-21,Nux-22:recipient
<NULL>,causing-21,crash-24:attachment
<NULL>,causing-21,Nux-22:recipient
<NULL>,spun-16,Nux-12:recipient
<NULL>,spun-16,Max-14:recipient
<NULL>,spun-16,control-19:object
<NULL>,killed-6,storm-9:is_participant_in
<NULL>,killed-6,Boys-4:recipient
himself-5,wearing-14,mask-17:recipient
himself-5,wearing-14,still-13:modifier
Max-1,awakens-2,<NULL>
himself-5,wearing-14,mask-17:recipient
himself-5,wearing-14,still-13:modifier
himself-5,chained-7,Nux-11:attachment
himself-5,chained-7,still-6:modifier
Max-1,tries-6,<NULL>
Max-1,shoot-8,wrist-12:recipient
Max-1,shoot-8,off-9:verb_complement
Max-1,grabs-2,shotgun-4:recipient
gun-16,misfires-17,<NULL>
<NULL>,removing-37,women-38:recipient
<NULL>,cleaning-31,belts-40:recipient
<NULL>,cleaning-31,themselves-32:recipient
<NULL>,removing-37,women-38:recipient
<NULL>,see-7,women-10:recipient
<NULL>,removing-37,women-38:recipient
<NULL>,cleaning-31,belts-40:recipient
<NULL>,cleaning-31,themselves-32:recipient
<NULL>,removing-37,women-38:recipient
Max-1,walks-2,<NULL>
Angharad-1,is-2,<NULL>
Dag-12,carrying-15,also-14:modifier
Dag-12,carrying-15,baby-18:recipient
Max-1,points-2,women-7:site
Max-1,points-2,shotgun-4:recipient
Max-1,demands-9,hose-11:recipient
drinks-2,tells-5,then-4:modifier
drinks-2,tells-5,women-6:recipient
Dag-1,break-7,not-6:negative
Dag-1,break-7,can-5:modal_verb
Dag-1,break-7,chain-8:recipient
Dag-1,tries-2,<NULL>
Furiosa-1,sees-2,distance-5:is_participant_in
towns-14,supply-16,ammunition-19:recipient
towns-14,supply-16,gas-17:recipient
towns-14,supply-16,Citadel-22:attachment
Joe-7,gathered-9,towns-14:compared_to
Joe-7,gathered-9,reinforcements-10:recipient
People_Eater_John_Howard-8,led-5,forces-3:recipient
Richard_Carter-13,led-5,forces-3:recipient
chain-11,ties-13,Max-14:recipient
Max-6,tries-7,<NULL>
Furiosa-3,fight-4,<NULL>
