Katie_Holmes-56,played-54,Rachel_Dawes-52:recipient
flashbacks-29,deal-32,<NULL>
<NULL>,aged-35,old-38:object
Green-26,represents-27,flashbacks-29:recipient
Red-14,represents-15,flashbacks-17:recipient
Blue-10,represents-11,<NULL>
<NULL>,divided-6,story-4:recipient
<NULL>,divided-6,timelines-9:modified_to
flashbacks-17,deal-20,earlier-25:modifier
Christian_Bale-50,played-48,Bruce_Wayne-46:recipient
Emma_Lockhart-15,played-13,<NULL>
Gus_Lewis-9,played-7,flashbacks-3:is_participant_in
Gus_Lewis-9,played-7,Bruce_Wayne-5:recipient
Rachel_Dawes-11,played-7,flashbacks-3:is_participant_in
Rachel_Dawes-11,played-7,Bruce_Wayne-5:recipient
swarm-3,fly-6,left-8:performer
swarm-3,fly-6,right-10:attachment
Rachel_Dawes-5,playing-7,garden-11:is_participant_in
Bruce_Wayne-3,playing-7,garden-11:is_participant_in
Bruce-1,fractures-9,arm-12:recipient
Bruce-1,falls-2,down-3:verb_complement
Bruce-1,falls-2,up-6:modifier
Bruce-1,falls-2,well-7:modifier
swarm-7,attacked-4,then-3:modifier
swarm-7,attacked-4,Bruce-1:recipient
<NULL>,emerging-10,crack-15:performer
Bruce-2,wakes-3,nightmare-7:raw_material
Bruce-2,wakes-3,up-4:verb_complement
It-1,becomes-2,apparent-3:object
inmates-11,brawl-13,breakfast-20:site
inmates-11,brawl-13,1-18:attachment
inmates-11,attacked-8,Bruce-5:recipient
inmates-11,attacked-8,regularly-7:modifier
man-9,approached-6,Bruce-4:recipient
man-9,approached-6,solitary-2:is_participant_in
<NULL>,called-10,Henri_Ducard_Liam_Neeson-11:recipient
<NULL>,stating-21,<NULL>
Bruce-23,knows-24,<NULL>
Ducard-1,displays-2,deal-5:recipient
<NULL>,stating-21,<NULL>
Bruce-23,knows-24,<NULL>
<NULL>,getting-11,audience-13:recipient
<NULL>,getting-11,prison-18:performer
<NULL>,Ducard-1,then-2:modifier
League-5,locking-16,himself-17:recipient
League-5,locking-16,away-18:verb_complement
Bruce-49,accept-51,offer-54:recipient
Bruce-49,accept-51,will-50:modal_verb
<NULL>,released-37,morning-40:is_participant_in
<NULL>,released-37,Ducard-31:recipient
Ducard-31,arranges-32,Bruce-34:with_respect_to
Bruce-43,decide-47,<NULL>
Bruce-1,deems-2,<NULL>
Bruce-49,accept-51,offer-54:recipient
Bruce-49,accept-51,will-50:modal_verb
<NULL>,released-37,morning-40:is_participant_in
<NULL>,released-37,Ducard-31:recipient
Ducard-31,arranges-32,Bruce-34:with_respect_to
Bruce-43,decide-47,<NULL>
League-5,offer-7,path-10:recipient
League-5,offer-7,can-6:modal_verb
League-5,offer-7,Bruce-8:recipient
Bruce-5,carry-17,top-21:attachment
Bruce-5,carry-17,flower-18:recipient
<NULL>,carries-9,<NULL>
<NULL>,promised-6,<NULL>
<NULL>,carries-9,<NULL>
<NULL>,released-3,Bruce-1:recipient
Henri_Ducard-18,confronted-16,Bruce-2:recipient
Henri_Ducard-18,confronted-16,again-20:modifier
Bruce-2,meets-3,al_Ghul_Ken_Watanabe-6:recipient
<NULL>,beaten-30,easily-29:modifier
<NULL>,beaten-30,easily-29:modifier
Bruce-24,collapses-32,<NULL>
Bruce-24,fights-25,back-26:verb_complement
Bruce-24,fights-25,Bruce-27:recipient
<NULL>,warning-7,Bruce-10:recipient
Bruce-24,collapses-32,<NULL>
Bruce-24,fights-25,back-26:verb_complement
Bruce-24,fights-25,Bruce-27:recipient
Ducard-1,attacks-4,then-2:modifier
Ducard-1,attacks-4,Bruce-5:recipient
Ducard-1,attacks-4,suddenly-3:modifier
death-12,wait-15,not-14:negative
<NULL>,sets-9,arm-13:recipient
<NULL>,comes-3,down-4:verb_complement
<NULL>,comes-3,Thomas_Wayne_Linus_Roache-1:modifier
ourselves-8,fall-9,we-11:recipient
ourselves-8,fall-9,So-10:modifier
Bruce-3,learn-13,can-12:modal_verb
<NULL>,asking-5,<NULL>
<NULL>,scared-12,Bruce-10:recipient
Bruce-3,admits-4,father-8:attachment
Bruce-3,admits-4,on-2:modifier
Bruce-3,suffering-19,now-18:modifier
Bruce-3,suffering-19,nightmares-20:recipient
Martha-6,take-7,opera-11:attachment
Martha-6,take-7,night-2:time
Martha-6,take-7,Bruce-8:recipient
Thomas-4,take-7,opera-11:attachment
Thomas-4,take-7,night-2:time
Thomas-4,take-7,Bruce-8:recipient
Wayne_Enterprises-21,funded-22,construction-24:recipient
Thomas-6,confides-7,<NULL>
<NULL>,work-17,<NULL>
<NULL>,prefering-15,<NULL>
<NULL>,running-6,people-13:recipient
<NULL>,work-17,<NULL>
<NULL>,prefering-15,<NULL>
Thomas-1,leaves-5,however-3:modifier
people-30,leave-32,can-31:modal_verb
bats-20,asks-25,father-28:recipient
bats-20,asks-25,father-28:recipient
bats-20,attacked-22,Bruce-23:recipient
bats-20,asks-25,father-28:recipient
production-13,remind-16,Bruce-17:recipient
bats-10,frightened-7,Mefistofele_Bruce-5:recipient
bats-20,asks-25,father-28:recipient
bats-20,asks-25,father-28:recipient
bats-20,attacked-22,Bruce-23:recipient
bats-20,asks-25,father-28:recipient
production-13,remind-16,Bruce-17:recipient
<NULL>,watching-2,opera-4:recipient
Thomas-21,gave-22,Martha-24:attachment
Joe_Chill_Richard_Brake-10,demands-17,necklace-20:recipient
Joe_Chill_Richard_Brake-10,accosts-11,people-12:recipient
man-8,named-9,alleyway-5:is_participant_in
fight-2,breaks-3,out-4:verb_complement
<NULL>,shot-16,Thomas-12:recipient
<NULL>,shot-16,Martha-14:recipient
<NULL>,shot-16,struggle-9:is_participant_in
fight-2,breaks-3,out-4:verb_complement
<NULL>,wounded-20,mortally-19:modifier
<NULL>,wounded-20,Thomas-12:recipient
<NULL>,leaving-5,alone-7:modifier
<NULL>,leaving-5,Bruce-6:recipient
Chill-1,runs-2,away-3:verb_complement
James_Gordon_Gary_Oldman-27,watched-19,Bruce-17:recipient
James_Gordon_Gary_Oldman-27,watched-19,Bruce-17:recipient
<NULL>,manages-5,<NULL>
James_Gordon_Gary_Oldman-27,watched-19,Bruce-17:recipient
<NULL>,dying-2,<NULL>
commissioner-5,Gillian_B-6,<NULL>
Loeb-1,informs-5,Bruce-6:recipient
police-9,caught-11,Chill-12:recipient
Loeb-1,comes-2,in-3:verb_complement
<NULL>,put-3,care-7:modified_to
<NULL>,put-3,Bruce-1:recipient
<NULL>,looked-15,company-12:recipient
<NULL>,looked-15,will-13:modal_verb
William_Earle_Rutger_Hauer-7,tells-8,Bruce-9:recipient
Alfred-1,tries-2,<NULL>
boy-8,confesses-9,Bruce-5:time
boy-8,confesses-9,parents-13:recipient
boy-8,confesses-9,when-6:modifier
boy-21,asked-22,<NULL>
