movie-3,is-6,melodrama-8:recipient
melodrama-8,captures-10,love-20:recipient
melodrama-8,captures-10,theme-12:recipient
movie-2,starts-3,judge-15:is_before_location
Simin-39,claims-40,daughter-48:destination
Simin-39,claims-40,court-43:is_participant_in
Simin-23,move-28,country-32:attachment
Nader-21,move-28,country-32:attachment
Simin-23,planning-26,<NULL>
Nader-21,planning-26,<NULL>
Simin-23,provide-34,opportunities-36:recipient
Nader-21,provide-34,opportunities-36:recipient
storyline-7,becomes-11,clear-12:object
father-23,suffers-25,Alzheimer-27:origin_value
Nader-2,was-3,<NULL>
Nader-16,refuses-17,then-18:modifier
<NULL>,living-9,earlier-14:modifier
I-21,know-22,Nader-23:recipient
<NULL>,know-16,not-14:negative
<NULL>,know-16,even-15:modifier
responsibility-4,is-12,<NULL>
Simin-17,believes-18,movie-3:prep_during
<NULL>,going-11,abroad-12:modifier
Simin-17,believes-18,movie-3:prep_during
Simin-5,insists-6,<NULL>
Simin-17,believes-18,movie-3:prep_during
Nader-14,refuses-15,when-13:modifier
way-23,is-20,<NULL>
Nader-14,hire-17,nurse-22:recipient
Nader-14,decides-15,<NULL>
Simin-2,live-5,not-4:negative
Simin-2,live-5,anymore-12:modifier
Razieh-3,enters-4,Therefore-1:modifier
Razieh-3,enters-4,house-6:recipient
father-16,needed-17,<NULL>
father-11,forgot-12,<NULL>
Razieh-3,like-19,not-18:negative
Razieh-3,like-19,Therefore-1:modifier
Razieh-3,take-24,care-25:recipient
Razieh-3,come-21,again-22:modifier
woman-7,believes-10,really-9:modifier
woman-7,believes-10,rules-13:is_participant_in
<NULL>,wash-19,even-18:modifier
<NULL>,wash-19,man-20:recipient
Razieh-3,want-6,not-5:negative
Razieh-3,want-6,Actually-1:modifier
Razieh-6,agrees-7,<NULL>
<NULL>,noticing-11,first-13:site
Razieh-16,finds-17,father-18:recipient
father-5,leaves-6,day-2:time
father-5,leaves-6,house-8:recipient
Nader-5,sees-9,<NULL>
<NULL>,tied-22,post-25:attachment
Nader-5,comes-6,day-3:time
Nader-5,comes-6,early-7:modifier
father-13,fallen-15,bed-19:compared_to
Nader-5,move-30,not-29:negative
father-5,passed-7,just-6:modifier
father-5,passed-7,away-8:verb_complement
Nader-1,thinks-2,<NULL>
Nader-3,becomes-8,OK-9:object
Nader-3,is-4,<NULL>
Nader-1,becomes-2,angry-4:object
Razieh-13,left-14,house-16:recipient
sign-21,is-19,<NULL>
Nader-7,calls-8,irresponsibility-11:recipient
Nader-7,calls-8,what-6:recipient
Razieh-18,falls-19,<NULL>
challenge-34,appears-39,<NULL>
Razieh-18,falls-19,<NULL>
Nader-6,pushes-11,house-16:object
Nader-6,pushes-11,Razieh-12:recipient
