Dauntless-22,encounters-23,shipwreck-25:recipient
survivor-29,floating-35,<NULL>
Elizabeth-8,found-9,<NULL>
Elizabeth-1,hides-4,<NULL>
Elizabeth-1,finds-2,medallion-7:recipient
<NULL>,accused-21,would-19:modal_verb
<NULL>,accused-21,Will-18:recipient
<NULL>,disappearing-9,mist-12:modified_to
She-1,glimpses-3,then-2:modifier
She-1,glimpses-3,ship-7:recipient
<NULL>,promoted-10,later-3:modifier
<NULL>,promoted-10,James_Norrington-5:recipient
<NULL>,promoted-10,Commodore-12:attachment
Norrington-6,proposes-7,Elizabeth-9:attachment
Norrington-6,proposes-7,ceremony-4:site
<NULL>,tumbling-21,bay-24:modified_to
<NULL>,tumbling-21,bay-24:modified_to
Elizabeth-12,fall-16,off-17:verb_complement
Elizabeth-12,fall-16,rampart-19:recipient
Elizabeth-8,overtightened-9,<NULL>
<NULL>,tumbling-21,bay-24:modified_to
<NULL>,tumbling-21,bay-24:modified_to
Elizabeth-12,fall-16,off-17:verb_complement
Elizabeth-12,fall-16,rampart-19:recipient
corset-10,causes-11,Elizabeth-12:recipient
<NULL>,tumbling-21,bay-24:modified_to
<NULL>,tumbling-21,bay-24:modified_to
Elizabeth-12,fall-16,off-17:verb_complement
Elizabeth-12,fall-16,rampart-19:recipient
Elizabeth-2,answer-6,<NULL>
Elizabeth-2,is-3,<NULL>
Elizabeth-3,wearing-5,emits-6:recipient
Elizabeth-3,wearing-5,pulse-9:recipient
Jack_Sparrow-5,arrived-7,Port_Royal-9:is_participant_in
Jack_Sparrow-5,arrived-7,Meanwhile-1:modifier
<NULL>,is-19,<NULL>
Norrington-10,recognizes-11,Norrington-12:recipient
Sparrow-5,rescues-6,Elizabeth-7:recipient
<NULL>,arrested-20,Norrington-18:recipient
Sparrow-1,escapes-2,shop-8:modified_to
Sparrow-1,ducks-4,<NULL>
<NULL>,hanged-18,<NULL>
<NULL>,hanged-18,<NULL>
<NULL>,set-15,<NULL>
<NULL>,jailed-13,Sparrow-8:recipient
<NULL>,set-15,<NULL>
<NULL>,Following-1,<NULL>
<NULL>,hanged-18,<NULL>
<NULL>,hanged-18,<NULL>
<NULL>,set-15,<NULL>
<NULL>,jailed-13,Sparrow-8:recipient
<NULL>,set-15,<NULL>
<NULL>,knocked-10,fight-4:prep_following
<NULL>,knocked-10,Sparrow-8:recipient
<NULL>,knocked-10,unconscious-11:object
<NULL>,knocked-10,day-21:time
<NULL>,answering-11,call-16:recipient
Pearl-9,besieged-6,Port_Royal-4:recipient
Pearl-9,besieged-6,night-2:time
<NULL>,captured-3,Elizabeth-1:recipient
<NULL>,parley-6,agreement-8:recipient
Elizabeth-1,invokes-5,<NULL>
<NULL>,negotiating-16,<NULL>
Elizabeth-13,tells-14,<NULL>
Elizabeth-6,'s-7,daughter-11:recipient
Elizabeth-6,is-18,Turner-19:recipient
Elizabeth-1,negotiates-2,pirates-5:destination
Elizabeth-17,is-18,key-20:recipient
pirates-26,are-27,<NULL>
pirates-26,are-27,<NULL>
<NULL>,breaking-22,curse-25:recipient
<NULL>,keeps-12,prisoner-14:recipient
<NULL>,breaking-22,curse-25:recipient
pirates-26,are-27,<NULL>
<NULL>,breaking-22,curse-25:recipient
<NULL>,employing-5,loophole-7:recipient
<NULL>,employing-5,agreement-10:is_participant_in
Barbossa-1,agrees-2,<NULL>
Will-9,persuades-15,Jack_Sparrow-17:recipient
<NULL>,freeing-26,Sparrow-27:recipient
<NULL>,freeing-26,jail-29:performer
Jack_Sparrow-17,help-19,Will-22:recipient
Commodore_Norrington-2,refuses-3,When-1:modifier
Will-9,persuades-15,Jack_Sparrow-17:recipient
<NULL>,freeing-26,Sparrow-27:recipient
<NULL>,freeing-26,jail-29:performer
Jack_Sparrow-17,help-19,Will-22:recipient
Will-9,loves-12,Elizabeth-13:recipient
Jack-1,agrees-2,<NULL>
<NULL>,is-10,<NULL>
Jack-10,knows-11,<NULL>
<NULL>,break-20,curse-22:recipient
<NULL>,break-20,order-18:dependent
pirates-13,go-15,will-14:modal_verb
They-1,set-2,sail-3:recipient
They-1,set-2,Isla_de_Muerta-5:destination
Will-5,learns-6,past-10:location_of
First_Mate_Barbossa-25,marooned-30,Jack-31:recipient
Captain-12,shared-13,bearings-15:recipient
Captain-12,shared-13,chest-19:attachment
Captain-12,shared-13,when-11:modifier
Captain-1,was-2,captain-5:recipient
First_Mate_Barbossa-25,instigated-26,mutiny-28:recipient
Jack-1,escaped-2,days-4:time
<NULL>,are-26,<NULL>
<NULL>,turned-17,beings-22:modified_to
<NULL>,turned-17,pirates-18:recipient
<NULL>,revealed-28,forms-25:recipient
<NULL>,revealed-28,moonlight-30:is_participant_in
<NULL>,revealed-28,only-27:modifier
pirates-2,learned-11,soon-10:modifier
<NULL>,are-26,<NULL>
<NULL>,turned-17,beings-22:modified_to
<NULL>,turned-17,pirates-18:recipient
<NULL>,revealed-28,forms-25:recipient
<NULL>,revealed-28,moonlight-30:is_participant_in
<NULL>,revealed-28,only-27:modifier
pirates-2,spent-5,<NULL>
treasure-12,was-13,<NULL>
<NULL>,are-26,<NULL>
<NULL>,turned-17,beings-22:modified_to
<NULL>,turned-17,pirates-18:recipient
<NULL>,revealed-28,forms-25:recipient
<NULL>,revealed-28,moonlight-30:is_participant_in
<NULL>,revealed-28,only-27:modifier
