I-16,knew-17,Harvey_Dent-18:recipient
I-1,was-2,friend-5:recipient
time-2,be-4,time-8:recipient
Oldman-5,did-6,<NULL>
I-1,believed-2,Dent-5:medium
<NULL>,occupied-13,soldiers-16:time_between
van-6,driving-8,later-3:modifier
van-6,driving-8,field-11:destination/location
soldiers-1,transporting-3,scientist-6:recipient
prisoners-7,have-13,hoods-14:recipient
<NULL>,rifles-20,prisoners-7:recipient
<NULL>,rifles-20,trained-21:dependent
<NULL>,handcuffed-11,prisoners-7:recipient
<NULL>,rifles-20,prisoners-7:recipient
<NULL>,rifles-20,trained-21:dependent
prisoners-7,Sitting-1,backseats-4:is_participant_in
van-2,arrives-3,airfield-6:site
team-7,Dr-10,<NULL>
Pavel-1,cut-3,deal-5:recipient
<NULL>,come-10,<NULL>
agent-3,refuses-4,<NULL>
mercenaries-15,work-17,man-21:destination
mercenaries-13,are-14,mercenaries-15:recipient
driver-8,told-4,agent-2:recipient
man-7,is-8,Bane-9:recipient
agent-1,brings-16,mercenaries-17:recipient
agent-1,takes-2,CIA-3:recipient
Wilson-5,interrogates-6,prisoners-8:recipient
Wilson-5,interrogates-6,flight-3:prep_during
Wilson-1,has-2,prisoner-4:recipient
<NULL>,dragged-5,door-9:attachment
who-14,paid-15,men-17:recipient
Wilson-8,pulls-9,pistol-12:recipient
Wilson-8,pulls-9,fires-14:recipient
man-3,refuses-4,When-1:modifier
<NULL>,given-11,<NULL>
<NULL>,pulled-5,over-6:verb_complement
<NULL>,pulled-5,prisoner-3:recipient
time-2,asks-5,Wilson-6:recipient
Wilson-4,asks-5,Wilson-6:recipient
Bane-11,wears-12,<NULL>
man-2,fails-3,<NULL>
comrade-22,wondering-24,<NULL>
prisoner-7,suggests-18,point-3:site
Wilson-38,asks-48,prisoner-50:recipient
man-11,talking-13,<NULL>
prisoner-7,sounds-9,<NULL>
Wilson-38,signals-39,soldier-42:destination
<NULL>,throwing-32,plane-37:object
<NULL>,throwing-32,man-33:recipient
<NULL>,shoot-28,would-26:modal_verb
<NULL>,shoot-28,someone-27:modifier
<NULL>,shoot-28,why-25:modifier
<NULL>,shoot-28,man-30:recipient
comrades-15,are-16,who-10:recipient
