England-33,left-36,dead-39:object
<NULL>,imprisoned-21,bombing-26:destination
<NULL>,imprisoned-21,wrongly-20:modifier
<NULL>,imprisoned-21,England-33:is_participant_in
relatives-13,became-15,<NULL>
<NULL>,known-16,<NULL>
<NULL>,imprisoned-7,subsequently-6:modifier
<NULL>,imprisoned-7,Guiseppe-4:recipient
story-2,opens-3,<NULL>
Irish_Republican_Army-13,targeted-10,pub-2:recipient
soldiers-7,frequented-4,<NULL>
<NULL>,driving-3,car-5:recipient
woman-2,listens-6,recording-10:attachment
speaks-2,amp-23,<NULL>
<NULL>,living-8,Belfast-10:is_participant_in
Conlon-12,steal-14,sheets-16:recipient
Conlon-12,steal-14,where-11:modifier
Conlon-12,steal-14,roofs-19:raw_material
Conlon-12,steal-14,'d-13:modal_verb
soldiers-17,shot-13,Gerry-11:recipient
soldiers-17,shot-13,at-14:dependent
soldiers-17,shot-13,day-2:time
<NULL>,holding-5,piece-7:recipient
<NULL>,chased-12,<NULL>
Gerry-1,runs-2,streets-5:modified_to
Gerry-1,starts-3,inadvertently-2:modifier
Gerry-1,starts-3,riot-6:recipient
Gerry-1,joins-8,mob-10:recipient
<NULL>,throwing-11,rocks-12:recipient
<NULL>,throwing-11,cocktails-15:recipient
Members-1,using-9,<NULL>
Members-1,threaten-25,<NULL>
Members-1,find-22,Gerry-23:recipient
Gerry-14,runs-15,through-16:verb_complement
daughters-34,trying-37,just-36:modifier
<NULL>,behaving-42,<NULL>
leader-28,tells-31,Giuseppe-32:recipient
father-3,rushes-19,scene-22:attachment
daughters-11,told-7,<NULL>
Giuseppe-1,decides-2,<NULL>
amp-18,avoid-19,Troubles-21:recipient
amp-18,avoid-19,Belfast-23:is_participant_in
Gerry-14,find-16,will-15:modal_verb
Gerry-7,meets-8,Paul_Hill-12:recipient
<NULL>,arrive-3,<NULL>
amp-6,go-7,immediately-8:modifier
amp-6,go-7,house-13:attachment
Patrick_Armstrong-17,lives-18,where-14:modifier
Gerry-1,visit-5,also-4:modifier
Gerry-1,visit-5,home-7:recipient
Paul-3,visit-5,also-4:modifier
Paul-3,visit-5,home-7:recipient
hostile-24,decide-27,<NULL>
Gerry-1,seem-4,<NULL>
Paul-3,seem-4,<NULL>
one-14,acts-23,<NULL>
<NULL>,carved-27,initials-30:recipient
<NULL>,carved-27,man-21:recipient
<NULL>,carved-27,bench-33:modified_to
man-21,accosted-17,Gerry-15:recipient
man-21,accosted-17,where-14:modifier
Gerry-1,wander-2,<NULL>
Gerry-3,continue-4,<NULL>
Paul-1,continue-4,<NULL>
Gerry-8,try-9,when-7:modifier
prostitute-1,refuses-2,<NULL>
Gerry-1,finds-8,stash-10:recipient
Gerry-1,finds-8,bedroom-15:is_participant_in
Gerry-1,walks-2,apartment-6:modified_to
money-4,spend-8,night-10:recipient
Gerry-1,takes-2,<NULL>
bomb-5,goes-6,Guilford-2:is_participant_in
bomb-5,goes-6,off-7:verb_complement
police-3,begin-4,hunt-6:attachment
<NULL>,charged-33,suspects-30:recipient
<NULL>,charged-33,formally-32:modifier
<NULL>,passed-14,Parliament-16:is_participant_in
<NULL>,passed-14,legislation-5:recipient
<NULL>,passed-14,before-3:modifier
<NULL>,hold-23,suspects-25:recipient
<NULL>,hold-23,days-28:destination
Parliament-16,allows-18,police-21:recipient
Gerry-1,rejoins-6,family-9:recipient
Gerry-1,returns-2,Belfast-4:attachment
Jim-4,been-8,<NULL>
Jim-4,talks-14,police-17:attachment
Jim-4,talks-14,London-2:is_participant_in
Jim-4,identifies-19,<NULL>
<NULL>,'d-7,<NULL>
Paul-1,remained-5,London-7:is_participant_in
shoes-20,arrested-10,Gerry-14:recipient
shoes-20,arrested-10,Paul-1:recipient
<NULL>,taking-15,Paul-16:recipient
<NULL>,taking-15,London-19:attachment
<NULL>,taking-15,back-17:verb_complement
Brits-6,invade-7,later-4:modifier
Brits-6,invade-7,Gerry-13:recipient
Brits-6,invade-7,home-10:recipient
<NULL>,kept-14,awake-15:dependent
<NULL>,interrogated-11,Gerry-1:recipient
<NULL>,kept-14,awake-15:dependent
<NULL>,held-3,Gerry-1:recipient
<NULL>,held-3,straight-19:modifier
<NULL>,held-3,days-18:destination
Gerry-1,look-8,photos-12:site
<NULL>,forced-6,Gerry-1:recipient
<NULL>,beaten-3,severely-4:modifier
<NULL>,beaten-3,Gerry-1:recipient
interrogators-3,tell-5,also-4:modifier
interrogators-3,tell-5,Gerry-6:recipient
<NULL>,bombmaking-18,Annie-11:recipient
<NULL>,charged-14,Annie-11:recipient
Paul-14,tells-15,Gerry-16:recipient
<NULL>,brought-5,Eventually-1:modifier
<NULL>,brought-5,Paul-3:recipient
<NULL>,brought-5,Gerry-7:attachment
Gerry-1,refuses-3,still-2:modifier
Gerry-1,signs-4,name-7:recipient
Gerry-1,signs-4,statement-11:attachment
Gerry-1,relents-2,<NULL>
<NULL>,charged-19,Carole_Richardson-9:recipient
<NULL>,charged-19,Gerry-1:recipient
<NULL>,charged-19,Paddy_Armstrong-5:recipient
<NULL>,charged-19,Paul-3:recipient
<NULL>,known-11,collectively-12:modifier
<NULL>,awaiting-6,facility-5:is_participant_in
<NULL>,awaiting-6,trial-7:recipient
Gerry-4,feels-7,<NULL>
Giuseppe-1,talks-2,Gerry-4:attachment
<NULL>,destined-25,Giuseppe-23:recipient
