date-2,is-3,November-4:recipient
Rocky-9,fighting-11,Rico-13:recipient
Rocky-9,fighting-11,arena-22:site
fight-2,goes-3,smooth-4:object
fight-23,continues-24,<NULL>
fight-23,continues-24,<NULL>
<NULL>,beginning-2,round-5:recipient
Spider-9,get-10,up-11:modifier
Rocky-7,get-10,up-11:modifier
Spider-7,headbutts-14,couple-15:recipient
Spider-7,headbutts-14,face-18:is_participant_in
Spider-7,grabs-8,hold-10:recipient
crowd-2,goes-3,<NULL>
<NULL>,pronounced-13,rings-3:recipient
<NULL>,pronounced-13,winner-15:recipient
<NULL>,signalling-4,end-6:recipient
Spider-3,leave-5,ring-7:recipient
Spider-3,leave-5,back-10:modifier
Spider-3,leave-5,both-4:dependent
Spider-3,leave-5,head-9:recipient
Rocky-1,leave-5,ring-7:recipient
Rocky-1,leave-5,back-10:modifier
Rocky-1,leave-5,both-4:dependent
Rocky-1,leave-5,head-9:recipient
you-11,'re-12,bum-14:recipient
loser-3,shouts-8,Rocky-10:site
<NULL>,is-34,<NULL>
Rico-19,gets-20,fight-15:is_participant_in
Spider-8,get-9,money-12:recipient
Spider-8,get-9,fight-15:destination
Spider-8,get-9,room-4:is_participant_in
Rocky-6,get-9,money-12:recipient
Rocky-6,get-9,fight-15:destination
Rocky-6,get-9,room-4:is_participant_in
Rocky-11,tells-12,where-10:modifier
Rocky-11,tells-12,Rocky-13:recipient
<NULL>,lying-6,<NULL>
Rocky-1,finds-4,<NULL>
Rocky-1,approaches-2,Spider-5:recipient
Rocky-15,was-16,<NULL>
Rocky-1,walks-2,home-3:recipient
Rocky-1,recites-10,<NULL>
Rocky-1,grabs-2,can-4:recipient
Rocky-1,looks-3,then-2:modifier
Rocky-1,looks-3,picture-6:site
Rocky-1,looks-3,youth-12:raw_material
Rocky-1,grabs-15,then-14:modifier
Rocky-1,grabs-15,freezer-20:raw_material
Rocky-1,grabs-15,ice-17:recipient
Adrian-21,bought-22,<NULL>
Adrian-12,talks-15,food-19:location_of
Rocky-5,visits-6,shop-10:recipient
Rocky-5,visits-6,morning-3:time
Adrian-1,respond-10,Rocky-12:attachment
Adrian-1,respond-10,not-9:negative
<NULL>,being-3,<NULL>
her-12,walks-13,<NULL>
boss-2,commands-3,her-4:recipient
Rocky-1,walking-3,down-4:verb_complement
Rocky-1,walking-3,docks-7:site
<NULL>,collect-20,money-21:recipient
<NULL>,collect-20,boss-25:destination
man-11,sees-12,Rocky-13:recipient
man-11,sees-12,when-9:modifier
Rocky-1,finds-2,man-4:recipient
man-11,sees-12,Rocky-13:recipient
man-11,sees-12,when-9:modifier
<NULL>,riding-5,forklift-7:recipient
man-15,drives-16,away-17:verb_complement
Rocky-8,stick-10,forklift-13:recipient
Rocky-8,stick-10,off-11:verb_complement
Rocky-1,breaks-7,<NULL>
Rocky-1,chases-2,Rocky-3:recipient
Rocky-8,catches-9,Rocky-12:attachment
Rocky-8,catches-9,up-10:verb_complement
man-2,runs-3,forklift-6:raw_material
man-5,have-8,money-10:recipient
man-5,have-8,not-7:negative
man-5,offers-12,man-13:recipient
man-5,offers-12,coat-16:recipient
man-1,tells-2,Rocky-3:recipient
<NULL>,gives-15,warning-18:recipient
<NULL>,gives-15,instead-14:modifier
<NULL>,gives-15,guy-16:recipient
Rocky-1,hit-9,guy-12:recipient
<NULL>,gives-15,warning-18:recipient
<NULL>,gives-15,instead-14:modifier
<NULL>,gives-15,guy-16:recipient
<NULL>,gives-15,warning-18:recipient
<NULL>,gives-15,instead-14:modifier
<NULL>,gives-15,guy-16:recipient
Rocky-1,refuses-7,<NULL>
Rocky-1,takes-2,money-4:recipient
deadbeat-34,had-35,<NULL>
<NULL>,driverbodyguard-9,later-3:modifier
<NULL>,driverbodyguard-9,Gazzo-5:recipient
<NULL>,driverbodyguard-9,Gazzo-7:recipient
<NULL>,pick-12,Rocky-14:recipient
<NULL>,pick-12,up-13:verb_complement
Rocky-22,gives-29,Gazzo-30:recipient
