Jeff_Jeffries-1,recuperates-2,leg-6:raw_material
<NULL>,sweltering-9,<NULL>
photographer-4,get-17,can-16:modal_verb
car-26,smashed-28,camera-31:recipient
<NULL>,snapped-42,instant-38:recipient
car-26,broke-33,leg-36:recipient
<NULL>,known-8,<NULL>
<NULL>,looking-16,out-17:verb_complement
<NULL>,looking-16,window-20:recipient
<NULL>,looking-16,courtyard-23:modified_to
Jeffries-1,spends-9,time-12:recipient
Jeffries-1,lives-2,apartment-6:is_participant_in
apartment-1,'s-2,sort-4:recipient
salesman-37,'s-35,<NULL>
salesman-37,lives-39,Jeffries-44:origin_value
salesman-37,lives-39,courtyard-42:destination/location
sleep-15,beat-21,heat-23:recipient
<NULL>,struggling-26,<NULL>
girl-4,exercises-6,underwear-9:is_participant_in
girl-4,'s-2,<NULL>
songwriter-27,working-28,piano-32:site
their-1,seem-2,<NULL>
<NULL>,spying-22,<NULL>
<NULL>,sitting-18,<NULL>
<NULL>,berating-15,Jeffries-16:recipient
<NULL>,spying-22,<NULL>
<NULL>,sitting-18,<NULL>
<NULL>,berating-15,Jeffries-16:recipient
<NULL>,dispensing-10,wisdom-13:recipient
therapist-4,comes-5,day-2:time
<NULL>,coming-7,<NULL>
Jeffries_Stella-3,smell-5,can-4:modal_verb
Jeffries_Stella-3,smell-5,trouble-6:recipient
Stella-1,tells-2,<NULL>
<NULL>,marrying-14,girlfriend-17:recipient
Jeffries-1,get-3,mind-6:recipient
Jeffries-1,get-3,should-2:modal_verb
Jeffries-1,get-3,neighbors-10:away_from_location
Jeffries-1,think-12,<NULL>
Jeff-1,replies-2,<NULL>
Jeffries-4,'s-5,<NULL>
Jeff-20,lives-21,often-41:dependent
Jeff-20,lives-21,life-23:recipient
Jeff-20,lives-21,always-29:modifier
Girl-3,'s-11,socialite-17:recipient
Girl-3,'s-4,girl-7:recipient
Jeffries-6,wants-7,<NULL>
life-1,'s-2,life-5:recipient
<NULL>,packed-8,down-14:modifier
<NULL>,packed-8,girl-6:recipient
Stella-3,says-2,Well-1:modifier
Girl-2,arrives-3,shortly-4:modifier
breezes-2,is-17,<NULL>
<NULL>,wearing-4,dress-8:recipient
