Hunting-3,has-4,intelligence-6:recipient
he-8,lives-16,apartment-22:is_participant_in
he-8,lives-16,alone-17:modifier
he-8,works-9,<NULL>
subconsciously-7,turns-16,selfloathing-18:recipient
subconsciously-7,turns-16,form-21:modified_to
subconsciously-7,blames-8,himself-9:recipient
subconsciously-7,blames-8,upbringing-14:destination
child-3,maintain-7,relationship-16:recipient
child-3,maintain-7,job-11:recipient
child-3,is-4,<NULL>
Gerald_Lambeau-16,left-24,students-34:attachment
Will-7,solves-8,problem-13:recipient
week-3,solve-39,might-38:modal_verb
Lambeau-8,puts-9,problem-11:recipient
problem-11,took-17,colleagues-22:recipient
problem-11,took-17,years-24:time
Everyone-1,wonders-2,<NULL>
Lambeau-8,puts-9,problem-11:recipient
problem-11,took-17,colleagues-22:recipient
problem-11,took-17,years-24:time
who-3,solved-4,week-5:time
<NULL>,solving-8,Will-9:recipient
<NULL>,discovered-3,act-6:is_participant_in
<NULL>,discovered-3,Will-1:recipient
<NULL>,is-2,<NULL>
Will-16,vandalizing-18,away-24:modifier
Will-16,vandalizing-18,board-20:recipient
Will-16,vandalizing-18,Lambeau-23:recipient
<NULL>,is-2,<NULL>
Lambeau-12,believes-14,initially-13:modifier
Lambeau-11,track-14,Will-15:recipient
Lambeau-11,track-14,down-16:verb_complement
Lambeau-11,tries-12,<NULL>
Will-2,turns-3,When-1:modifier
Will-2,turns-3,out-4:verb_complement
youth-17,faces-19,now-18:modifier
youth-17,faces-19,imprisonment-20:recipient
Will-3,attacks-4,youth-6:recipient
Will-3,attacks-4,Meanwhile-1:modifier
youth-17,faces-19,now-18:modifier
youth-17,faces-19,imprisonment-20:recipient
youth-6,bullied-9,years-11:time
Will-2,have-4,might-3:modal_verb
Will-2,have-4,potential-6:recipient
<NULL>,be-8,<NULL>
Realizing-56,study-58,must-57:modal_verb
Realizing-56,study-58,where-55:modifier
Realizing-56,study-58,mathematics-59:recipient
Realizing-56,see-61,psychotherapist-63:recipient
Realizing-12,need-15,not-14:negative
Realizing-12,need-15,therapy-16:recipient
Realizing-7,seems-8,even-5:modifier
Will-1,chooses-2,latter-4:recipient
psychologists-2,fail-3,<NULL>
<NULL>,estranged-13,<NULL>
Lambeau-6,calls-8,finally-7:modifier
Sean-1,is-22,<NULL>
Sean-1,differs-2,predecessors-7:raw_material
Maguire-10,is-11,predecessors-7:is_participant_in
Maguire-10,is-11,neighborhood-15:raw_material
Sean-11,concludes-16,<NULL>
Sean-20,suppressed-22,feelings-23:recipient
Sean-20,suppressed-22,guilt-25:recipient
Sean-11,done-13,himself-14:recipient
Will-5,analyzes-6,point-3:site
Will-5,analyzes-6,painting-9:recipient
point-18,reflects-19,<NULL>
Sean-1,becomes-2,offended-3:object
Sean-1,becomes-2,hostile-5:object
Will-37,ruined-39,chances-42:recipient
Will-25,walks-30,out-31:verb_complement
Will-25,walks-30,Lambeau-32:recipient
<NULL>,walks-33,<NULL>
Sean-1,grabs-7,Will-8:recipient
Sean-1,grabs-7,throat-11:means
<NULL>,believing-35,<NULL>
Will-25,ends-26,point-24:site
Will-25,ends-26,appointment-28:recipient
Sean-3,tells-10,Lambeau-11:recipient
