Scorsese-12,runs-13,casino-17:recipient
Casino-5,follows-6,life-8:recipient
movie-2,deals-4,also-3:modifier
Outfit-3,'s-6,boss-7:recipient
<NULL>,give-24,Philip_Green-28:recipient
Green-7,is-8,president-10:recipient
<NULL>,takes-16,also-15:modifier
<NULL>,takes-16,Stone-19:origin_value
<NULL>,takes-16,orders-17:recipient
Outfit-5,sends-6,over-8:verb_complement
Outfit-5,sends-6,month-2:time
Outfit-5,sends-6,John_Nance-7:recipient
Outfit-5,sends-6,Las_Vegas-10:attachment
<NULL>,skim-15,winnings-21:raw_material
<NULL>,skim-15,millions-16:recipient
<NULL>,counting-30,<NULL>
KC-26,underboss-27,<NULL>
Nance-1,makes-3,then-2:modifier
Nance-1,makes-3,trip-5:recipient
KC-26,underboss-27,<NULL>
<NULL>,Kansas_City-7,month-10:time
bosses-5,collect-6,where-3:modifier
bosses-5,collect-6,money-8:recipient
<NULL>,'s-2,<NULL>
it-10,be-17,closer-19:modifier
it-10,be-12,<NULL>
bosses-2,want-3,Ace-4:recipient
<NULL>,gambling-18,<NULL>
Ace-5,agrees-7,eventually-6:modifier
<NULL>,hired-12,<NULL>
Ace-4,has-5,help-2:destination
Ace-4,has-5,Billy_Sherbert-11:recipient
bosses-2,send-3,man-15:recipient
bosses-2,send-3,Nicky_Santoro-4:recipient
bosses-2,send-3,friend-9:recipient
<NULL>,watch-19,<NULL>
skim-27,goes-28,alright-29:object
<NULL>,make-24,sure-25:object
Nicky-6,is-7,psychopath-12:recipient
Nicky-17,sees-18,<NULL>
psychopath-12,kill-15,anyone-16:recipient
psychopath-12,kill-15,will-14:modal_verb
<NULL>,kindhearted-4,Ace-2:recipient
Nicky-7,stabs-13,repeatedly-18:modifier
Nicky-7,stabs-13,Nicky-14:recipient
Nicky-7,takes-8,pen-11:recipient
guard-16,take-17,hand-20:recipient
guard-16,smash-22,times-25:recipient
Ace-1,shows-3,also-2:modifier
Ace-1,shows-3,side-7:recipient
Nicky-9,has-14,<NULL>
Nicky-9,catches-10,when-8:modifier
Nicky-9,catches-10,cheaters-12:recipient
hustler-16,works-18,casinos-20:recipient
Nicky-8,falls-9,love-11:is_participant_in
Nicky-8,falls-9,when-7:modifier
Nicky-8,falls-9,turn-6:time
life-3,takes-4,turn-6:recipient
thing-6,control-13,not-12:negative
thing-6,control-13,could-11:modal_verb
Lester_Diamond-18,was-14,<NULL>
Ginger-5,have-7,baby-10:recipient
Ginger-5,marry-16,boyfriend-17:recipient
Ace-2,convinces-4,still-3:modifier
Ginger-24,loves-26,Lester-27:recipient
Ginger-24,loves-26,still-25:modifier
<NULL>,is-2,wedding-6:site
<NULL>,is-2,well-3:modifier
<NULL>,crying-12,Lester-16:attachment
<NULL>,talking-14,<NULL>
Ace-12,is-13,<NULL>
Ginger-1,tells-2,Ace-3:recipient
<NULL>,is-20,<NULL>
Ace-23,travels-35,also-34:modifier
Ace-23,buys-24,Ginger-25:recipient
<NULL>,fulfil-2,Ginger-7:attachment
<NULL>,fulfil-2,promise-5:recipient
Ginger-16,be-19,<NULL>
marriage-12,work-15,not-14:negative
Lester-2,puts-3,where-1:modifier
Lester-2,puts-3,away-6:modifier
Lester-2,puts-3,ransom-8:destination
<NULL>,putting-9,trust-13:recipient
<NULL>,putting-9,Ginger-15:modified_to
Lester-1,gives-2,Ginger-7:attachment
Lester-1,gives-2,key-5:recipient
Nicky-8,performing-10,line-14:recipient
Ace-2,running-4,casino-6:recipient
<NULL>,rip-16,bookies-17:recipient
<NULL>,rip-16,off-18:verb_complement
<NULL>,starts-2,crew-11:dependent
<NULL>,starts-2,Nicky-1:modifier
<NULL>,rip-16,bookies-17:recipient
<NULL>,rip-16,off-18:verb_complement
<NULL>,hustling-3,<NULL>
<NULL>,rip-16,bookies-17:recipient
<NULL>,rip-16,off-18:verb_complement
<NULL>,shaking-5,down-6:verb_complement
<NULL>,shaking-5,forms-9:recipient
<NULL>,shaking-5,bookies-7:recipient
<NULL>,are-16,<NULL>
<NULL>,are-16,<NULL>
Ace-1,tells-7,Nicky-8:recipient
Ace-1,catches-2,Nicky-5:attachment
Ace-1,catches-2,on-3:verb_complement
Nicky-8,be-10,<NULL>
himself-11,put-12,book-16:modified_to
<NULL>,doing-7,<NULL>
Nicky-1,ignores-2,Nicky-3:recipient
Nicky-1,decides-2,<NULL>
<NULL>,make-7,living-9:recipient
Nicky-1,brings-2,<NULL>
Nicky-1,opens-2,up-3:verb_complement
Nicky-1,opens-2,store-8:recipient
burglaries-19,performs-18,<NULL>
Nicky-1,places-3,also-2:modifier
couple-2,send-6,bosses-11:attachment
couple-2,send-6,Nicky-5:modifier
Nicky-18,makes-19,what-17:recipient
what-17,keep-23,order-21:dependent
men-14,shot-16,up-17:verb_complement
<NULL>,killing-10,couple-12:recipient
Nicky-1,performs-3,also-2:modifier
Nicky-1,performs-3,jobs-4:recipient
Ace-5,fires-6,Tangiers-3:site
manager-8,Don_Ward-9,<NULL>
Ace-24,back-27,not-26:negative
Ace-24,back-27,down-28:verb_complement
Green-16,'s-17,brotherinlaw-22:recipient
Green-7,have-8,back-12:recipient
Green-2,begs-3,Ace-4:recipient
himself-3,Ace-14,<NULL>
Commissioner-2,stands-16,still-15:modifier
Commissioner-2,stands-16,decision-20:means
himself-3,comes-4,in-5:verb_complement
Ace-5,'s-6,decision-9:recipient
Ace-5,leaves-14,then-13:modifier
Commissioner-2,states-3,<NULL>
problems-5,starting-8,already-7:modifier
problems-5,starting-8,Back-1:modifier
Ace-12,asks-13,defensive-10:dependent
Ace-12,asks-13,why-14:dependent
Ace-12,asks-13,when-11:modifier
Ace-3,asks-13,defensive-10:dependent
Ace-3,asks-13,why-14:dependent
Ace-3,asks-13,when-11:modifier
Ginger-1,asks-2,<NULL>
Ace-1,has-2,<NULL>
Nicky-3,follow-4,then-5:modifier
Nicky-3,follow-4,bank-8:attachment
<NULL>,gives-12,Diamond-13:recipient
<NULL>,gives-12,money-15:recipient
<NULL>,goes-3,then-2:modifier
<NULL>,goes-3,restaurant-6:attachment
<NULL>,telling-10,Lester-11:recipient
<NULL>,telling-10,Lester-11:recipient
Lester-11,stay-13,<NULL>
Ace-1,sits-5,down-6:verb_complement
Lester-11,stay-13,<NULL>
Ace-1,enters-3,then-2:modifier
Nicky-18,watches-19,<NULL>
Ace-1,takes-3,then-2:modifier
Ace-1,takes-3,Ginger-4:recipient
Ginger-1,goes-3,later-2:modifier
Ace-8,had-9,why-7:modifier
states-2,try-12,should-11:modal_verb
<NULL>,working-13,it-14:recipient
<NULL>,working-13,out-15:verb_complement
Ace-4,loves-5,then-6:modifier
Ace-4,loves-5,much-8:modifier
Ace-4,loves-5,then-10:modifier
Ace-1,get-15,help-17:recipient
Ace-1,get-15,sake-22:destination
Ace-1,wants-3,also-2:modifier
Ginger-1,agrees-2,<NULL>
money-7,keeps-12,<NULL>
<NULL>,counting-10,<NULL>
<NULL>,skimming-19,<NULL>
<NULL>,counting-15,<NULL>
Outfit-2,finds-6,out-7:verb_complement
Outfit-2,finds-6,however-4:modifier
Nance-8,says-9,<NULL>
Nance-10,wants-11,<NULL>
<NULL>,go-14,easy-15:object
<NULL>,confront-3,John_Nance-4:recipient
<NULL>,confront-3,When-1:modifier
Piscano-1,starts-5,however-3:modifier
partner-12,comes-15,Vegas-7:time
partner-12,comes-15,picture-18:modified_to
partner-12,comes-15,when-9:modifier
partner-12,demands-20,Tangiers-25:origin_value
partner-12,demands-20,money-22:recipient
Things-1,are-2,<NULL>
partner-6,takes-7,case-9:recipient
partner-6,takes-7,court-11:attachment
Green-2,stalls-3,When-1:modifier
Green-2,stalls-3,partner-4:recipient
outcome-2,is-7,<NULL>
Green-17,got-18,funding-20:recipient
Green-17,got-18,where-16:modifier
Green-9,show-15,<NULL>
Green-9,open-11,must-10:modal_verb
Green-9,open-11,books-13:recipient
Gaggi-1,sends-8,Nicky-9:recipient
police-2,start-3,<NULL>
Ace-8,starts-10,now-9:modifier
Green-15,runs-16,only-19:modifier
Green-15,runs-16,casino-18:recipient
Green-21,is-22,<NULL>
<NULL>,bringing-10,fact-13:recipient
<NULL>,bringing-10,up-11:verb_complement
Ace-15,own-18,license-21:recipient
Ace-15,own-18,not-17:negative
publisher-3,takes-4,Casino-5:recipient
publisher-3,takes-4,context-8:object
media-2,starts-3,<NULL>
<NULL>,promised-21,Nicky-19:recipient
<NULL>,promised-21,senator-27:compared_to
<NULL>,promised-21,one-24:recipient
friendship-8,affect-12,could-11:modal_verb
friendship-8,affect-12,hearing-16:recipient
<NULL>,doing-23,things-24:recipient
<NULL>,doing-23,Nicky-20:recipient
Ace-8,tells-9,Nicky-10:recipient
Nicky-2,threatens-3,banker-6:recipient
Nicky-12,needs-13,<NULL>
Gaggi-6,tells-7,Marino-8:recipient
Nicky-11,handle-13,quieter-15:recipient
Marino-8,tell-10,Nicky-11:recipient
bosses-2,agree-4,also-3:modifier
Nicky-1,starts-2,<NULL>
Nicky-1,starts-11,<NULL>
<NULL>,throw-8,detectives-11:recipient
<NULL>,throw-8,off-9:verb_complement
detectives-11,have-13,surveillance-15:recipient
Nicky-1,starts-3,also-2:modifier
what-3,take-12,control-13:recipient
Ace-1,realizes-2,<NULL>
what-3,take-12,control-13:recipient
Nicky-4,intends-6,what-3:recipient
Nicky-4,intends-6,really-5:modifier
Piscano-5,complaining-9,again-8:modifier
Piscano-5,complaining-9,Back-1:modifier
Piscano-5,complaining-9,trip-12:location_of
KC-29,cost-31,will-30:modal_verb
KC-29,cost-31,Piscano-32:recipient
Piscano-13,has-14,<NULL>
Piscano-10,starts-11,<NULL>
<NULL>,do-7,not-5:negative
<NULL>,do-7,KC-8:recipient
Nance-8,ripping-17,off-19:verb_complement
Nance-8,ripping-17,Nance-18:recipient
guys-11,ripping-17,off-19:verb_complement
