film-2,opens-3,Tara-5:is_participant_in
plantation-9,owned-10,State-26:is_participant_in
plantation-9,owned-10,Gerald_O'Hara_Thomas_Mitchell-14:time_between
date-2,is-3,April-4:recipient
wife-5,have-9,Scarlett_Vivien_Leigh-21:recipient
wife-5,have-9,daughters-12:recipient
wife-5,have-9,Carreen_Ann_Rutherford-15:recipient
<NULL>,headstrong-19,<NULL>
days-4,having-5,fun-6:recipient
days-4,flirting-14,especially-16:modifier
days-4,tormenting-8,servants-11:recipient
Scarlett-1,spends-2,<NULL>
brothers-2,hope-8,<NULL>
Scarlett-9,choose-11,will-10:modal_verb
<NULL>,attend-16,ball-18:recipient
brothers-2,anticipate-3,ball-6:recipient
Carletons-2,speculate-3,war-6:recipient
Scarlett-1,is-8,<NULL>
Scarlett-1,finds-2,<NULL>
<NULL>,be-13,<NULL>
Carletons-1,runs-2,off-3:verb_complement
father-7,riding-10,home-11:recipient
father-1,returns-2,home-3:recipient
Hickman-1,hosts-2,party-5:recipient
Hickman-1,hosts-2,plantation-11:site
Scarlett-1,pines-2,Wilkes-4:with_respect_to
Scarlett-1,continues-2,<NULL>
women-4,go-5,nap-10:destination
women-4,go-5,inside-6:modifier
men-13,meet-14,parlor-17:is_participant_in
<NULL>,disagrees-27,<NULL>
South-8,win-11,will-9:modal_verb
South-8,win-11,surely-10:modifier
South-8,win-11,how-6:modifier
South-8,win-11,gentleman-16:dependent
South-8,win-11,war-13:recipient
<NULL>,produce-32,quickly-36:modifier
<NULL>,produce-32,weapons-33:recipient
South-5,win-8,not-7:negative
South-5,win-8,can-6:modal_verb
South-5,win-8,war-11:recipient
South-5,win-8,superior-28:dependent
<NULL>,produce-32,quickly-36:modifier
<NULL>,produce-32,weapons-33:recipient
Gable-1,states-2,able-30:object
Charles_Hamilton_Rand_Brooks-1,tells-10,Gable-11:recipient
Charles_Hamilton_Rand_Brooks-1,tells-10,so-12:modifier
Charles_Hamilton_Rand_Brooks-1,tells-10,openly-9:modifier
opinion-7,offended-3,Charles_Hamilton_Rand_Brooks-1:recipient
