Sights-1,flash-7,screen-10:destination/location
Carol_Reed-16,describes-17,trade-20:recipient
amateurs-19,end-21,always-20:modifier
amateurs-19,end-21,dead-23:recipient
amateurs-19,end-21,up-22:verb_complement
Englishman-16,implies-17,<NULL>
amateurs-5,tried-7,<NULL>
Englishman-16,implies-17,<NULL>
Englishman-1,describes-2,<NULL>
<NULL>,do-33,<NULL>
<NULL>,do-33,<NULL>
city-4,speak-36,language-39:recipient
city-4,speak-36,not-34:negative
city-4,speak-36,even-35:modifier
amateurs-25,handle-28,element-31:recipient
amateurs-25,handle-28,can-27:modal_verb
amateurs-25,handle-28,Russians-17:dependent
amateurs-25,handle-28,Americans-20:dependent
amateurs-25,handle-28,barely-26:modifier
amateurs-25,handle-28,French-23:dependent
amateurs-25,handle-28,English-14:dependent
city-4,speak-36,language-39:recipient
city-4,speak-36,not-34:negative
city-4,speak-36,even-35:modifier
forces-12,policed-9,<NULL>
<NULL>,do-33,<NULL>
<NULL>,do-33,<NULL>
city-4,speak-36,language-39:recipient
city-4,speak-36,not-34:negative
city-4,speak-36,even-35:modifier
amateurs-25,handle-28,element-31:recipient
amateurs-25,handle-28,can-27:modal_verb
amateurs-25,handle-28,Russians-17:dependent
amateurs-25,handle-28,Americans-20:dependent
amateurs-25,handle-28,barely-26:modifier
amateurs-25,handle-28,French-23:dependent
amateurs-25,handle-28,English-14:dependent
city-4,speak-36,language-39:recipient
city-4,speak-36,not-34:negative
city-4,speak-36,even-35:modifier
<NULL>,quartered-6,sectors-8:modified_to
<NULL>,quartered-6,Meanwhile-1:modifier
<NULL>,quartered-6,city-4:recipient
<NULL>,covered-6,rubble-9:is_participant_in
city-2,devastated-4,<NULL>
Holly_Martins-14,accept-20,job-22:recipient
Holly_Martins-14,accept-20,friend-26:raw_material
Holly_Martins-14,come-18,<NULL>
<NULL>,coming-10,<NULL>
Holly_Martins-14,accept-20,job-22:recipient
Holly_Martins-14,accept-20,friend-26:raw_material
Holly_Martins-14,come-18,<NULL>
Russians-1,begins-2,<NULL>
Holly_Martins-14,accept-20,job-22:recipient
Holly_Martins-14,accept-20,friend-26:raw_material
Holly_Martins-14,come-18,<NULL>
<NULL>,named-13,Holly_Martins-14:recipient
friend-13,is-17,station-21:site
friend-13,is-17,not-18:negative
Holly_Martins_Joseph_Cotten-1,gets-2,train-6:away_from_location
<NULL>,meet-23,Harry-24:recipient
<NULL>,surprised-9,Holly_Martins_Joseph_Cotten-1:recipient
Holly-1,goes-2,flat-6:attachment
Paul_Hrbiger-12,tells-19,Hrbiger-20:recipient
Hrbiger-22,missed-24,friends-27:recipient
Hrbiger-22,missed-24,just-23:modifier
<NULL>,hit-9,right-13:time_between
Harry-5,killed-7,<NULL>
<NULL>,hit-9,right-13:time_between
porter-2,says-3,<NULL>
Martins-1,finds-8,service-11:recipient
Martins-1,goes-2,graveyard-6:attachment
graveyard-8,is-9,funeral-12:recipient
Trevor_Howard-3,informs-6,<NULL>
<NULL>,hovering-4,nearby-5:modifier
<NULL>,Holly-14,suspiciously-15:modifier
men-8,Standing-1,grave-4:time_between
Alida_Valli-8,notice-12,not-11:negative
Alida_Valli-8,is-4,woman-7:recipient
Englishman-15,offers-16,Englishman-17:recipient
Englishman-15,offers-16,ride-19:recipient
Martins-5,begins-6,<NULL>
stranger-2,buy-21,drink-24:recipient
stranger-2,buy-21,stranger-22:recipient
