actions-32,tarnished-34,reputation-36:recipient
Mickey_Cohen-18,taken-20,<NULL>
<NULL>,organized-23,<NULL>
montage-3,explains-16,<NULL>
<NULL>,leaving-21,rackets-24:recipient
<NULL>,leaving-21,open-22:verb_complement
<NULL>,sent-12,prison-14:attachment
<NULL>,sent-12,Cohen-1:recipient
Cohen-25,expanded-27,years-29:destination
<NULL>,leaving-21,rackets-24:recipient
<NULL>,leaving-21,open-22:verb_complement
<NULL>,arrested-6,however-3:modifier
<NULL>,arrested-6,Cohen-1:recipient
story-2,documents-3,paths-6:recipient
<NULL>,intertwining-5,<NULL>
<NULL>,checks-26,Christmas-5:prep_during
<NULL>,checks-26,in-27:verb_complement
White-3,sent-33,San_Quentin_State_Penitentiary-35:attachment
White-3,finds-37,partner-38:recipient
<NULL>,abusing-40,wife-43:recipient
father-27,killed-20,mother-18:recipient
father-27,killed-20,how-14:modifier
<NULL>,seeing-13,<NULL>
<NULL>,impose-8,violence-9:recipient
<NULL>,impose-8,women-11:object
<NULL>,lighted-12,<NULL>
Bud-7,yanks-8,sleigh-14:recipient
Bud-7,yanks-8,decorations-17:recipient
<NULL>,lure-2,wifebeater-4:recipient
<NULL>,lure-2,outside-5:modifier
handcuffs-15,man-16,railing-20:attachment
senseless-13,man-16,railing-20:attachment
White-10,beats-11,<NULL>
man-3,comes-4,When-1:modifier
man-3,comes-4,outside-5:modifier
White-24,released-26,<NULL>
White-18,watching-21,White-22:recipient
White-18,watching-21,will-19:modal_verb
Bud-1,tells-2,man-4:recipient
White-18,watching-21,White-22:recipient
White-18,watching-21,will-19:modal_verb
<NULL>,sent-8,prison-11:attachment
<NULL>,sent-8,will-6:modal_verb
<NULL>,sent-8,back-9:verb_complement
<NULL>,sent-8,White-5:recipient
Stensland-3,go-5,store-9:attachment
Stensland-3,go-5,next-4:modifier
Bud-1,go-5,store-9:attachment
Bud-1,go-5,next-4:modifier
Lynn-10,recognizes-14,easily-13:modifier
<NULL>,named-9,Lynn-10:recipient
Lynn-10,recognizes-14,easily-13:modifier
Bud-1,meets-2,woman-5:recipient
<NULL>,sitting-18,backseat-21:is_participant_in
Bud-5,notices-6,woman-9:recipient
driver-15,tries-22,<NULL>
what-5,happened-6,<NULL>
Bud-2,inquires-3,When-1:modifier
driver-15,met-10,White-8:recipient
woman-10,tells-13,herself-15:recipient
woman-10,tells-13,White-14:recipient
Bud-1,inquires-5,woman-10:location_of
Bud-1,inquires-5,further-6:modifier
woman-10,tells-13,herself-15:recipient
woman-10,tells-13,White-14:recipient
Bud-1,disarms-2,White-3:recipient
returns-2,Meeks-3,wallet-7:recipient
returns-2,Meeks-3,pistol-5:recipient
Stensland-11,confirms-12,<NULL>
White-2,gets-3,back-4:verb_complement
White-2,gets-3,When-1:modifier
White-2,gets-3,car-9:attachment
Sid_Hudgens-26,met-24,Vincennes-22:recipient
Sid_Hudgens-26,met-24,when-21:modifier
Jack_Vincennes-9,dancing-16,Jack_Vincennes-1:modifier
Jack_Vincennes-9,dancing-16,party-7:site
Sid-1,rented-26,bungalow-29:recipient
Sid-1,rented-26,bungalow-29:recipient
Sid-1,purchased-18,quantity-21:recipient
Sid-1,come-3,<NULL>
Sid-14,feature-20,it-21:recipient
Sid-14,feature-20,HushHush-23:is_participant_in
<NULL>,provided-12,<NULL>
Sid-14,feature-20,it-21:recipient
Sid-14,feature-20,HushHush-23:is_participant_in
