Jackson-1,arrives-17,D-29:site
Tesseract-2,activated-12,<NULL>
Loki_Tom_Hiddleston-12,steps-13,through-14:verb_complement
Tesseract-1,opens-2,portal-4:recipient
Loki-1,uses-6,spear-8:recipient
<NULL>,take-10,control-11:recipient
Loki-1,takes-2,Tesseract-4:recipient
<NULL>,aid-8,Loki-9:recipient
Erik_Selvig_Stellan_Skarsgrd-1,'s-12,<NULL>
<NULL>,destroying-24,base-25:recipient
<NULL>,collapse-22,<NULL>
<NULL>,destroying-24,base-25:recipient
surge-11,causes-15,ground-17:recipient
surge-11,causes-15,base-7:time
surge-11,causes-15,when-8:modifier
<NULL>,destroying-24,base-25:recipient
personnel-2,pull-3,out-4:verb_complement
personnel-2,pull-3,of-5:dependent
pursuit-3,fails-6,<NULL>
Nick_Fury-7,issues-8,state-10:recipient
Nick_Fury-7,issues-8,response-2:is_participant_in
agents-27,are-28,<NULL>
Rogers-18,needs-19,<NULL>
Fury-1,sends-12,Gregg-13:recipient
Gregg-13,find-15,heroes-17:recipient
Rogers-18,oppose-21,Loki-22:recipient
Fury-1,pulls-2,Coulson-5:recipient
Fury-1,pulls-2,assignments-10:object
Fury-1,pulls-2,Romanoff-3:recipient
<NULL>,is-2,<NULL>
Coulson-10,pulls-11,assignment-15:away_from_location
Coulson-10,pulls-11,Johansson-12:recipient
<NULL>,is-2,<NULL>
Coulson-10,sends-17,Johansson-18:recipient
<NULL>,found-3,Romanoff-1:recipient
<NULL>,found-3,suspects-7:is_participant_in
Banner-1,found-21,peace-23:recipient
<NULL>,doing-24,so-25:modifier
<NULL>,working-9,hospital-12:destination
Banner-1,found-21,peace-23:recipient
<NULL>,doing-24,so-25:modifier
Banner-1,living-4,exile-6:is_participant_in
Romanoff-1,tells-2,Tesseract-6:location_of
Romanoff-1,tells-2,Banner-3:recipient
Banner-10,is-11,people-12:recipient
chance-14,find-16,location-20:recipient
superiors-10,run-12,D.-23:recipient
<NULL>,bring-33,Initiative-37:location_of
superiors-10,is-26,<NULL>
<NULL>,saying-6,<NULL>
WSC-2,are-3,<NULL>
WSC-8,'s-9,thing-12:recipient
people-17,work-20,together-21:modifier
people-17,work-20,will-18:modal_verb
people-17,work-20,never-19:negative
<NULL>,do-14,<NULL>
<NULL>,is-10,<NULL>
people-3,have-4,option-7:recipient
<NULL>,is-10,<NULL>
Fury-1,says-2,<NULL>
superiors-2,agree-4,reluctantly-3:modifier
Steve_Rogers-1,is-9,<NULL>
Steve_Rogers-1,find-13,<NULL>
E.-7,_-8,D-11:recipient
Rogers-8,was-9,alive-16:dependent
<NULL>,keeping-3,tabs-4:recipient
Rogers-13,sleep-16,not-15:negative
Fury-1,goes-2,<NULL>
Rogers-11,finds-12,where-10:modifier
what-12,going-14,on-15:verb_complement
what-12,going-14,back-16:modifier
Fury-1,tells-2,Rogers-3:recipient
Rogers-5,find-7,packet-10:recipient
Rogers-5,find-7,will-6:modal_verb
armor-8,has-10,capabilities-12:recipient
<NULL>,seen-2,armor-8:is_participant_in
<NULL>,installing-2,connection-6:recipient
<NULL>,allowing-19,<NULL>
connection-6,take-9,will-8:modal_verb
connection-6,take-9,completely-14:modifier
connection-6,take-9,grid-18:away_from_location
connection-6,take-9,building-13:recipient
Pepper_Potts_Gwyneth_Paltrow-9,tells-11,Jr-12:recipient
Pepper_Potts_Gwyneth_Paltrow-9,greeted-3,Jr.-1:recipient
Pepper_Potts_Gwyneth_Paltrow-9,greeted-3,office-7:site
night-2,'s-3,night-5:recipient
<NULL>,is-35,<NULL>
genius-21,get-23,should-22:modal_verb
Tony-1,wants-2,Pepper-3:recipient
genius-21,get-23,should-22:modal_verb
Pepper-7,feels-8,how-6:modifier
genius-21,get-23,should-22:modal_verb
Pepper-7,be-10,genius-12:recipient
Coulson-1,arrives-2,<NULL>
Tony-5,tries-9,repeatedly-8:modifier
Tony-5,tries-9,quickly-6:modifier
hands-2,Tony-3,laptop-5:recipient
hands-2,Tony-3,everything-13:location_of
everything-13,going-16,on-17:verb_complement
Tony-24,has-25,lot-32:recipient
Tony-24,has-25,homework-26:recipient
Pepper-1,decides-2,instead-3:modifier
<NULL>,zoning-11,<NULL>
it-22,seems-23,<NULL>
<NULL>,do-28,<NULL>
airplane-26,'s-27,honor-30:recipient
they-32,found-33,Coulson-34:recipient
Coulson-20,telling-22,Rogers-23:recipient
<NULL>,flying-16,<NULL>
Coulson-20,telling-22,Rogers-23:recipient
carrier-10,convert-13,can-12:modal_verb
carrier-10,convert-13,carrier-18:attachment
they-32,tells-36,Coulson-37:recipient
<NULL>,introduced-10,Rogers-8:recipient
<NULL>,introduced-10,Dr-12:attachment
they-1,head-3,then-2:modifier
they-1,head-3,helicarrier-6:attachment
they-9,'re-10,kind-6:recipient
<NULL>,wonder-4,then-3:modifier
Rogers-1,thinks-2,<NULL>
<NULL>,'s-4,<NULL>
<NULL>,riding-4,should-2:modal_verb
<NULL>,riding-4,in-5:verb_complement
Banner-1,is-6,container-12:recipient
carrier-2,takes-3,off-4:verb_complement
they-4,briefed-6,Dr-8:recipient
<NULL>,traced-6,Selvig-1:recipient
<NULL>,traced-6,Germany-10:attachment
<NULL>,traced-6,Loki-3:recipient
assignment-4,is-5,<NULL>
doctor-18,harbors-20,element-22:recipient
Loki-1,is-2,gala-8:site
Loki-14,kidnapping-16,doctor-18:recipient
Loki-14,kidnapping-16,where-13:modifier
they-23,need-24,<NULL>
<NULL>,Dr-2,<NULL>
Loki-14,carries-15,out-16:verb_complement
Loki-14,carries-15,plan-19:recipient
Hawkeye-6,kills-7,<NULL>
distraction-4,kills-7,<NULL>
Loki-14,carries-15,out-16:verb_complement
Loki-14,carries-15,plan-19:recipient
men-9,guarding-10,building-12:recipient
Loki-14,carries-15,out-16:verb_complement
Loki-14,carries-15,plan-19:recipient
Selvig-1,creates-2,<NULL>
Selvig-3,instructing-5,<NULL>
freedom-21,is-22,lie-26:recipient
civilians-10,need-11,<NULL>
<NULL>,Kill-26,<NULL>
<NULL>,daring-34,Loki-35:recipient
Tony-13,makes-14,entrance-17:recipient
Tony-13,makes-14,later-12:modifier
Tony-13,makes-14,tune-20:attachment
<NULL>,drawn-32,<NULL>
Rogers-6,confronted-4,then-3:modifier
Rogers-6,confronted-4,regalia-9:is_participant_in
Rogers-6,confronted-4,Selvig-1:recipient
plane-25,encounters-26,storm-29:recipient
<NULL>,being-12,<NULL>
Loki-1,surrenders-3,quickly-2:modifier
<NULL>,flown-13,prison-18:attachment
<NULL>,being-12,<NULL>
heroes-7,arrive-8,when-4:modifier
<NULL>,lighting-9,<NULL>
Loki-11,tells-12,<NULL>
Loki-13,'s-15,lightning-18:recipient
Rogers-5,'s-6,<NULL>
Rogers-5,'s-21,<NULL>
Rogers-1,asks-2,Loki-3:recipient
<NULL>,'s-2,<NULL>
what-3,follows-4,<NULL>
Thor_Chris_Hemsworth-1,arrives-13,<NULL>
Thor-31,gets-32,fight-35:modified_to
Loki-20,face-22,justice-24:recipient
Loki-20,face-22,crimes-28:destination
Loki-20,face-22,can-21:modal_verb
Thor_Chris_Hemsworth-1,attempts-15,<NULL>
fight-2,ends-3,stalemate-6:is_participant_in
<NULL>,hold-17,Hulk-19:recipient
<NULL>,placed-10,cell-14:is_participant_in
<NULL>,placed-10,Loki-3:recipient
<NULL>,designed-15,<NULL>
<NULL>,taken-5,Eventually-1:modifier
<NULL>,taken-5,Loki-3:recipient
<NULL>,taken-5,helicarrier-8:attachment
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
Loki-24,plummet-26,will-25:modal_verb
Loki-24,plummet-26,Earth-28:attachment
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
shaft-18,open-20,will-19:modal_verb
shaft-18,open-20,Loki-22:prep_below
<NULL>,cracking-13,merely-12:modifier
<NULL>,cracking-13,glass-15:recipient
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
Loki-24,plummet-26,will-25:modal_verb
Loki-24,plummet-26,Earth-28:attachment
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
shaft-18,open-20,will-19:modal_verb
shaft-18,open-20,Loki-22:prep_below
Fury-1,explains-2,<NULL>
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
Loki-24,plummet-26,will-25:modal_verb
Loki-24,plummet-26,Earth-28:attachment
<NULL>,killed-32,Loki-24:recipient
<NULL>,killed-32,possibly-30:modifier
shaft-18,open-20,will-19:modal_verb
shaft-18,open-20,Loki-22:prep_below
Loki-5,attempts-6,<NULL>
Avengers-19,think-20,what-18:recipient
what-18,happen-23,possibly-22:modifier
what-18,happen-23,will-21:modal_verb
Fury-16,briefed-14,carrier-5:recipient
Loki-1,is-2,prison-4:is_participant_in
Romanoff-10,interrogated-7,Loki-1:recipient
board-4,seems-5,<NULL>
Tony_Stark-1,arrives-2,<NULL>
<NULL>,is-5,<NULL>
<NULL>,gets-2,along-3:verb_complement
<NULL>,gets-2,really-1:modifier
Loki-19,witness-21,trick-26:recipient
Loki-19,witness-21,can-20:modal_verb
<NULL>,conducting-2,experiments-3:recipient
Stark-9,tries-10,<NULL>
<NULL>,been-11,<NULL>
flinches-2,begins-5,<NULL>
<NULL>,'s-10,<NULL>
<NULL>,harness-15,fully-14:modifier
<NULL>,harness-15,abilities-18:recipient
that-20,suffered-22,depression-23:recipient
that-20,suffered-22,then-21:modifier
what-13,gives-14,then-15:modifier
<NULL>,'s-16,<NULL>
<NULL>,'s-2,<NULL>
people-11,is-12,<NULL>
<NULL>,moved-5,Calcutta-7:attachment
<NULL>,helping-10,<NULL>
SHIELD-20,harness-23,power-27:recipient
SHIELD-20,plans-21,<NULL>
Avengers-2,argue-8,deliberate-10:dependent
SHIELD-20,harness-23,power-27:recipient
