Ralph-10,drops-11,buck-13:recipient
Keller_Dover-1,hunting-7,deer-8:recipient
Ralph-5,hunting-7,deer-8:recipient
Keller-15,recites-16,Prayer-20:recipient
Keller-5,tells-6,son-9:recipient
<NULL>,be-12,<NULL>
RV-3,drives-4,<NULL>
Dover-2,talk-3,Later-1:modifier
Dover-2,talk-3,finances-7:location_of
Keller-23,says-24,<NULL>
apartment-25,is-26,condition-30:is_participant_in
Dover-12,rent-15,out-16:verb_complement
Dover-12,rent-15,not-14:negative
Dover-12,rent-15,apartment-21:recipient
Dover-12,rent-15,why-11:modifier
Ralph-9,wonders-10,<NULL>
family-2,walk-14,house-19:attachment
families-2,have-3,time-6:recipient
adults-21,realize-22,<NULL>
curb-19,parked-16,<NULL>
adults-21,realize-22,<NULL>
adults-3,cook-4,<NULL>
someone-23,is-24,inside-25:recipient
adults-21,realize-22,<NULL>
kids-6,go-7,out-8:verb_complement
adults-21,realize-22,<NULL>
Anna_Dover-10,jumps-11,<NULL>
Franklin_Birch-1,is-2,man-5:recipient
Franklin_Birch-1,plays-7,trumpet-10:recipient
<NULL>,supposed-23,Dover-21:recipient
<NULL>,get-17,<NULL>
daughters-7,leave-8,<NULL>
Keller-4,realizes-5,later-3:modifier
<NULL>,had-15,<NULL>
girls-7,returned-10,not-9:negative
teens-14,escorted-17,not-16:negative
teens-14,escorted-17,ones-21:recipient
Keller-1,searches-2,home-6:recipient
Ralph-1,mentions-7,RV-9:recipient
<NULL>,looking-4,also-5:modifier
Ralph-1,mentions-7,RV-9:recipient
Ralph-1,returns-2,<NULL>
Loki-2,chats-8,<NULL>
Loki-2,has-3,food-5:recipient
phone-3,buzzes-4,<NULL>
<NULL>,found-10,RV-8:recipient
Alex_Jones-16,tries-21,<NULL>
Loki-1,heads-4,case-6:recipient
Loki-1,goes-8,<NULL>
Alex_Jones-16,crashes-26,trees-29:modified_to
<NULL>,is-10,<NULL>
<NULL>,taken-3,Alex-1:recipient
<NULL>,taken-3,in-4:verb_complement
Jones-13,has-14,IQ-16:recipient
<NULL>,found-11,it-9:recipient
Jones-13,speaks-22,rarely-21:modifier
parents-22,died-23,<NULL>
Loki-2,goes-3,<NULL>
<NULL>,was-26,<NULL>
aunt-8,raised-13,Jones-14:recipient
uncle-3,left-4,ago-10:modifier
uncle-3,left-4,home-6:recipient
Alex-1,have-12,things-14:recipient
Alex-1,have-12,not-11:negative
Alex-1,spends-2,<NULL>
Jones-26,covered-30,not-28:negative
Jones-26,covered-30,evidence-33:recipient
Jones-26,covered-30,up-31:verb_complement
Jones-26,covered-30,could-27:modal_verb
