II-4,presents-5,storylines-8:recipient
<NULL>,is-17,<NULL>
<NULL>,murdered-29,insult-32:destination
<NULL>,murdered-29,lord-37:attachment
<NULL>,murdered-29,father-22:recipient
film-2,begins-3,1901-5:is_participant_in
<NULL>,murdered-10,brother-8:recipient
<NULL>,murdered-10,procession-3:prep_during
brother-12,swore-13,revenge-14:recipient
mother-3,goes-4,Ciccio-6:attachment
Vito-19,seek-21,revenge-22:recipient
Vito-19,seek-21,will-20:modal_verb
Vito-19,seek-21,later-23:modifier
Vito-19,seek-21,life-25:is_participant_in
Vito-13,refuses-14,<NULL>
mother-2,takes-3,knifepoint-7:site
mother-2,takes-3,hostage-5:recipient
townspeople-19,aided-12,boy-10:recipient
townspeople-19,aided-12,escape-16:is_participant_in
<NULL>,is-11,<NULL>
men-1,search-2,town-4:recipient
agent-16,chooses-17,hometown-20:recipient
agent-16,chooses-17,Ellis_Island-13:site
<NULL>,registered-31,agent-29:recipient
Vito-1,finds-2,ship-7:time_between
Vito-1,finds-2,way-5:recipient
Vito-1,finds-2,New_York-9:attachment
Michael_Corleone-15,deals-23,1958-2:is_participant_in
Michael_Corleone-15,deals-23,compound-40:recipient
Michael_Corleone-15,deals-23,party-33:prep_during
<NULL>,celebrate-42,Communion-48:recipient
Family-25,buying-27,<NULL>
Michael-6,meets-7,office-4:is_participant_in
Geary-1,has-4,businessmen-12:recipient
Geary-1,has-4,contempt-6:recipient
<NULL>,take-21,advantage-22:recipient
businessmen-12,moving-15,state-19:modified_to
Geary-1,promises-27,<NULL>
<NULL>,gambling-24,<NULL>
Michael-22,get-24,will-23:modal_verb
Michael-22,get-24,nothing-25:recipient
Michael-9,refuses-10,when-8:modifier
Michael-1,ends-2,conversation-5:recipient
Connie-10,planning-23,<NULL>
Michael-39,disapproves-40,<NULL>
Connie-10,marry-25,man-27:recipient
<NULL>,named-28,Merl_Johnson-29:recipient
<NULL>,divorced-16,husband-20:compared_to
<NULL>,divorced-16,recently-15:modifier
Michael-1,deals-3,also-2:modifier
Hyman_Roth-14,supporting-18,industry-25:modified_to
Hyman_Roth-14,supporting-18,move-21:recipient
<NULL>,gambling-24,<NULL>
Michael-1,talks-3,also-2:modifier
associate-10,has-28,problems-29:recipient
associate-10,has-28,now-27:modifier
Michael-3,deals-4,Belatedly-1:modifier
associate-10,took-12,<NULL>
Pentangeli-1,leaves-2,<NULL>
<NULL>,spray-31,bedroom-33:recipient
wife-14,Kay-15,notices-16:recipient
wife-14,Kay-15,attempt-10:time
wife-14,Kay-15,when-11:modifier
Michael-5,escapes-7,night-3:time
Michael-5,escapes-7,barely-6:modifier
Michael-5,escapes-7,attempt-10:recipient
notices-16,allows-26,hitmen-29:recipient
drapes-20,are-21,<NULL>
<NULL>,found-5,hitman-3:recipient
<NULL>,found-5,dead-6:verb_complement
Michael-3,tells-4,Afterwards-1:modifier
Michael-3,tells-4,lawyer-7:recipient
Michael-3,tells-4,Tom_Hagen-10:recipient
someone-25,leave-27,must-26:modal_verb
<NULL>,Hagen-35,<NULL>
<NULL>,made-15,hit-13:recipient
Vito_Corleone-8,works-9,New_York_City-4:is_participant_in
Vito_Corleone-8,works-9,Flashback-1:modifier
Don_Fanucci-12,extorts-15,payments-17:recipient
Don_Fanucci-12,extorts-15,businesses-20:raw_material
member-7,controlled-4,neighborhood-2:recipient
night-2,takes-27,apartment-32:attachment
night-2,takes-27,neighbor-28:recipient
Clemenza-7,asks-8,<NULL>
Clemenza-9,repay-23,later-20:modifier
Clemenza-9,repay-23,favor-25:recipient
Clemenza-9,hide-11,stash-13:recipient
lawyer-34,commit-35,together-39:modifier
lawyer-34,commit-35,where-33:modifier
lawyer-34,commit-35,felony-38:recipient
film-2,flashforwards-3,time-7:attachment
Hyman_Roth-5,tells-11,Michael-12:recipient
