structure-24,moves-25,highlands-31:modified_to
banks-37,shielded-33,<NULL>
scene-3,reveals-4,area-7:recipient
Sophie_Emily_Mortimer_Japanese_Chieko_Baish-7,sits-8,adornments-13:site
Sophie_Emily_Mortimer_Japanese_Chieko_Baish-7,sits-8,city-4:is_participant_in
<NULL>,sewing-12,<NULL>
boss-2,tells-7,<NULL>
<NULL>,inviting-15,out-17:verb_complement
<NULL>,inviting-15,Baish-16:recipient
<NULL>,inviting-15,evening-20:destination
Baish-8,closing-13,below-11:modifier
boss-2,enters-3,room-5:recipient
<NULL>,chattering-16,excitedly-17:modifier
<NULL>,coworkers-9,rush-10:recipient
<NULL>,coworkers-9,window-14:attachment
<NULL>,chattering-16,excitedly-17:modifier
Sophie-1,declines-3,politely-2:modifier
<NULL>,gaze-4,<NULL>
figure-9,vanish-10,hills-14:modified_to
Sophie-1,follows-2,<NULL>
joke-3,leave-16,<NULL>
<NULL>,preyed-12,girls-9:recipient
<NULL>,preyed-12,will-10:modal_verb
Sophie-1,finishes-2,hat-4:recipient
Sophie-1,finishes-2,alone-9:modifier
Sophie-1,finishes-2,exits-6:recipient
parade-15,moving-19,down-20:verb_complement
parade-15,moving-19,street-23:recipient
Sophie-1,decides-7,<NULL>
Sophie-1,takes-2,downtown-5:recipient
soldiers-17,flirt-21,<NULL>
soldiers-17,begin-19,<NULL>
Sophie-11,bumps-12,couple-15:modified_to
Sophie-2,appears-3,<NULL>
Sophie-17,leave-18,<NULL>
soldiers-13,refuse-14,<NULL>
sister-5,waiting-7,Malone-9:destination
soldiers-13,refuse-14,<NULL>
Sophie-1,explains-2,<NULL>
Sophie-1,backs-2,man-8:modified_to
Sophie-1,backs-2,up-3:verb_complement
man-8,drapes-10,arm-13:recipient
man-6,sends-15,soldiers-16:recipient
<NULL>,marching-17,alley-20:recipient
<NULL>,marching-17,down-18:verb_complement
man-6,forces-7,stance-13:modified_to
man-6,forces-7,soldiers-9:recipient
man-1,offers-3,then-2:modifier
number-9,begin-19,<NULL>
number-9,rush-21,soldiers-23:direction
number-9,begin-19,<NULL>
number-9,rush-21,soldiers-23:direction
number-9,appear-13,walls-17:object
soldiers-2,walk-3,down-4:verb_complement
soldiers-2,walk-3,alley-6:recipient
Sophie-7,puts-21,arm-24:recipient
Sophie-7,puts-21,arm-24:recipient
Sophie-7,puts-21,arm-24:recipient
shadows-13,merge-17,<NULL>
man-3,apologizes-4,<NULL>
Sophie-7,puts-21,arm-24:recipient
Sophie-7,puts-21,arm-24:recipient
Sophie-7,puts-21,arm-24:recipient
shadows-13,merge-17,<NULL>
Sophie-7,involved-8,<NULL>
man-8,instructs-9,Sophie-10:recipient
Sophie-10,start-12,walking-13:recipient
soldiers-2,hover-3,<NULL>
<NULL>,saying-13,Sophie-14:recipient
<NULL>,setting-20,down-22:verb_complement
<NULL>,setting-20,Sophie-21:recipient
compliments-10,Sophie-11,<NULL>
soldiers-1,walk-2,together-6:modifier
<NULL>,going-18,<NULL>
Sophie-12,wait-14,should-13:modal_verb
Sophie-12,wait-14,bit-16:recipient
man-4,draw-6,pursuers-9:recipient
man-4,draw-6,will-5:modal_verb
man-4,draw-6,off-7:verb_complement
man-1,tells-2,<NULL>
man-1,departs-3,then-2:modifier
<NULL>,told-17,sister-7:recipient
Sophie-1,watches-2,<NULL>
<NULL>,told-17,sister-7:recipient
man-3,leave-4,<NULL>
<NULL>,seen-10,Sophie-8:recipient
Sophie-1,rushes-2,<NULL>
Sophie-1,explains-13,later-12:modifier
Sophie-1,Lettie-15,<NULL>
Sophie-1,recalls-2,experience-4:recipient
experience-7,been-21,wizard-23:recipient
man-19,stolen-23,heart-25:recipient
man-19,stolen-23,would-20:modal_verb
man-19,stolen-23,surely-22:modifier
<NULL>,trusting-8,<NULL>
man-19,stolen-23,heart-25:recipient
man-19,stolen-23,would-20:modal_verb
man-19,stolen-23,surely-22:modifier
Lettie-1,advises-2,Malone-3:recipient
experience-14,been-16,Howl-17:recipient
Sophie-3,notes-4,Melancholy-1:modifier
Howl-6,preys-8,only-7:modifier
Lettie-1,warns-7,<NULL>
Lettie-1,resigns-2,statement-5:attachment
<NULL>,heading-8,home-9:recipient
<NULL>,Sophie-5,sister-6:recipient
Sophie-1,says-2,goodbye-3:object
Sophie-18,reminds-19,Sophie-20:recipient
Sophie-4,spend-6,will-5:modal_verb
Sophie-4,spend-6,rest-8:recipient
Sophie-4,spend-6,shop-15:is_participant_in
Sophie-18,reminds-19,Sophie-20:recipient
Lettie-1,asks-2,<NULL>
Lettie-1,tells-2,Sophie-3:recipient
<NULL>,saying-12,farewell-13:recipient
Malone-9,wants-10,what-8:recipient
Malone-5,pursue-7,should-6:modal_verb
Sophie-1,locks-9,door-11:recipient
Sophie-1,locks-9,Sophie-13:support
Sophie-1,arrives-2,back-3:verb_complement
Sophie-1,arrives-2,shop-7:site
woman-28,enters-29,<NULL>
Sophie-17,putting-19,away-22:modifier
Sophie-17,putting-19,hat-21:recipient
