lion-15,rules-16,where-13:modifier
King-3,takes-4,place-5:recipient
Rafiki_Robert_Guillaume-1,climbs-11,face-13:recipient
<NULL>,greet-18,friend-21:recipient
Rafiki_Robert_Guillaume-1,walks-6,<NULL>
Mufasa-1,leads-2,Rafiki-3:recipient
Rafiki-3,holding-11,cub-14:recipient
<NULL>,presenting-9,Rafiki-10:recipient
<NULL>,presenting-9,animals-14:recipient
Rafiki-1,anoints-2,cub-4:recipient
cheer-3,bow-6,king-11:attachment
Jeremy_Irons-4,sulking-13,Rock-18:support
Jeremy_Irons-4,sulking-13,Meanwhile-1:modifier
Jeremy_Irons-4,sulking-13,himself-15:owner
Irons-1,is-2,envious-3:recipient
Mufasa-26,has-27,heir-29:recipient
Mufasa-26,has-27,now-24:modifier
Irons-1,disgruntled-14,fact-17:site
Irons-1,be-22,king-23:recipient
Jones-16,was-17,<NULL>
hornbill-8,named-9,Zazu_Rowan_Atkinson-10:recipient
majordomo-5,confront-12,Scar-13:recipient
Mufasa-1,confront-12,Scar-13:recipient
Scar-1,scoffs-12,responsibility-16:recipient
Scar-1,shrugs-2,majordomo-3:recipient
Scar-1,shrugs-2,off-4:modifier
Scar-1,scoffs-12,responsibility-16:recipient
Jones-7,forgotten-9,<NULL>
<NULL>,seen-11,Rafiki-9:recipient
storms-3,drench-4,Lands-7:recipient
home-16,adding-22,details-23:recipient
home-16,adding-22,piece-28:attachment
finishes-6,Simba_Jonathan_Taylor_Thomas-15,<NULL>
Rafiki-1,chuckles-2,lightly-3:modifier
<NULL>,get-17,up-18:verb_complement
<NULL>,destined-26,youth-24:recipient
youth-24,rule-28,over-29:verb_complement
Simba-6,rises-7,morning-10:time
<NULL>,show-20,youth-21:recipient
<NULL>,destined-26,youth-24:recipient
youth-24,rule-28,over-29:verb_complement
Simba-6,pesters-12,father-15:recipient
<NULL>,covered-27,horizon-24:recipient
<NULL>,covered-27,shadow-29:is_participant_in
Mufasa-1,illustrates-2,top-5:raw_material
everything-10,is-14,kingdom-16:recipient
<NULL>,forbidden-5,Simba_Jones-3:recipient
<NULL>,going-8,there-9:modifier
<NULL>,going-8,ever-7:modifier
Mufasa-1,tells-2,<NULL>
