Dorothy_Gale_Judy_Garland-1,is-2,teenager-5:recipient
teenager-5,lives-7,<NULL>
<NULL>,orphaned-4,<NULL>
<NULL>,going-4,<NULL>
Garland-1,daydreams-2,<NULL>
Toto-19,jumps-20,basket-24:object
Gulch-2,shows-3,up-4:verb_complement
Toto-19,jumps-20,basket-24:object
<NULL>,take-9,Toto-10:recipient
<NULL>,take-9,sheriff-13:attachment
Toto-19,runs-34,Dorothy-37:attachment
Toto-19,runs-34,back-35:verb_complement
Toto-19,jumps-20,basket-24:object
<NULL>,euthanized-16,<NULL>
teller-7,guesses-15,immediately-14:modifier
Dorothy-17,run-19,away-20:verb_complement
Gulch-1,meets-2,teller-7:recipient
<NULL>,find-10,only-8:modifier
<NULL>,find-10,tornado-12:recipient
<NULL>,approaching-13,<NULL>
Dorothy-1,returns-3,home-4:recipient
Dorothy-1,returns-3,immediately-2:modifier
Dorothy-11,dream-28,<NULL>
Dorothy-11,begins-26,apparently-25:modifier
window-22,knocked-17,unconscious-18:object
window-22,knocked-17,Dorothy-11:recipient
Dorothy-11,dream-28,<NULL>
Dorothy-11,begins-26,apparently-25:modifier
<NULL>,reach-3,cellar-9:is_participant_in
<NULL>,reach-3,family-5:recipient
Dorothy-11,dream-28,<NULL>
Dorothy-11,begins-26,apparently-25:modifier
Dorothy-11,enters-12,house-14:recipient
<NULL>,swept-10,world-14:compared_to
<NULL>,swept-10,family-8:recipient
tornado-2,drops-3,house-6:recipient
people-11,think-13,first-15:site
witch-2,ruled-3,Land-5:recipient
herself-18,be-20,witch-22:recipient
Witch-3,is-11,sister-13:recipient
Witch-3,threatens-19,Dorothy-20:recipient
Glinda_Billie_Burke-2,gives-11,Dorothy-12:recipient
Glinda_Billie_Burke-2,gives-11,Slippers-19:recipient
slippers-23,protect-24,Burke-25:recipient
Wizard-20,lives-25,Emerald_City-28:is_participant_in
Glinda-1,advises-2,<NULL>
Wizard-20,lives-25,Emerald_City-28:is_participant_in
Garland-13,seek-15,should-14:modal_verb
Garland-13,seek-15,aid-17:recipient
Wizard-20,lives-25,Emerald_City-28:is_participant_in
Dorothy-5,wants-6,<NULL>
Dorothy-5,sets-6,Road-12:time_during
Dorothy-5,sets-6,off-7:verb_complement
<NULL>,get-2,there-3:modifier
Garland-2,followed-4,far-8:modifier
Garland-2,followed-4,road-6:recipient
<NULL>,talking-13,<NULL>
wish-17,is-18,<NULL>
Dorothy-10,meets-11,scarecrow-14:recipient
They-1,is-16,<NULL>
Haley-19,move-22,not-21:negative
Haley-19,move-22,ca-20:modal_verb
Haley-19,move-22,not-21:negative
Haley-19,move-22,ca-20:modal_verb
<NULL>,caught-11,rain-14:is_participant_in
<NULL>,caught-11,Jack_Haley-7:recipient
They-1,come-2,<NULL>
They-2,walk-10,When-1:modifier
They-2,walk-10,again-13:modifier
They-2,walk-10,can-9:modal_verb
Haley-15,confesses-16,<NULL>
They-2,talk-12,<NULL>
longs-19,joins-25,Dorothy-26:recipient
longs-19,joins-25,too-24:modifier
wizard-29,give-31,will-30:modal_verb
wizard-29,give-31,Wizard-32:recipient
Bert_Lahr-14,joins-21,quest-23:recipient
Bert_Lahr-14,wishes-17,courage-19:destination
wizard-29,give-31,will-30:modal_verb
wizard-29,give-31,Wizard-32:recipient
Bert_Lahr-14,joins-21,quest-23:recipient
They-2,walk-3,<NULL>
wizard-29,give-31,will-30:modal_verb
wizard-29,give-31,Wizard-32:recipient
Bert_Lahr-14,joins-21,quest-23:recipient
Bert_Lahr-14,wishes-17,courage-19:destination
wizard-29,give-31,will-30:modal_verb
wizard-29,give-31,Wizard-32:recipient
Bert_Lahr-14,joins-21,quest-23:recipient
They-9,encounter-10,Bert_Lahr-14:recipient
friends-4,resemble-5,<NULL>
farmhands-8,work-10,aunt-14:destination
<NULL>,menaced-15,friends-11:recipient
Witch-19,hindered-13,friends-11:recipient
<NULL>,set-13,scarecrow-15:recipient
<NULL>,tries-11,<NULL>
Garland-1,incites-2,trees-3:recipient
<NULL>,fall-25,asleep-26:information_content
witch-8,conjures-9,field-12:recipient
witch-8,conjures-9,up-10:verb_complement
<NULL>,fall-25,asleep-26:information_content
poppies-14,cause-16,Dorothy-17:recipient
poppies-14,cause-16,Toto-19:recipient
poppies-14,cause-16,lion-23:recipient
snow-7,counteracts-10,effects-12:recipient
Glinda-1,saves-2,Dorothy-3:recipient
snow-7,counteracts-10,effects-12:recipient
<NULL>,making-5,snow-7:recipient
scarecrow-37,receives-38,infusion-40:recipient
travelers-3,take-14,time-15:recipient
scarecrow-37,receives-38,infusion-40:recipient
travelers-8,find-9,Emerald_City-12:is_participant_in
scarecrow-37,receives-38,infusion-40:recipient
Lion-24,have-25,hair-27:recipient
Toto-21,have-25,hair-27:recipient
scarecrow-37,receives-38,infusion-40:recipient
travelers-3,marvel-4,wonders-7:site
scarecrow-37,receives-38,infusion-40:recipient
<NULL>,done-28,<NULL>
