Dan_Haywood_Spencer_Tracy-2,arrives-3,Nuremberg-5:is_participant_in
<NULL>,abused-22,system-25:recipient
<NULL>,charged-19,<NULL>
Haywood-31,wonders-32,<NULL>
statement-3,is-9,one-12:recipient
Haywood-31,wonders-32,<NULL>
<NULL>,opening-2,<NULL>
one-34,is-35,<NULL>
Haywood-31,wonders-32,<NULL>
one-34,been-19,<NULL>
Haywood-31,wonders-32,<NULL>
<NULL>,depicting-14,defendants-16:recipient
Haywood-31,wonders-32,<NULL>
<NULL>,having-18,<NULL>
Haywood-36,resolves-37,<NULL>
<NULL>,named-13,Ernst_Janning_Burt_Lancaster-14:recipient
defendant-5,appears-16,how-3:modifier
<NULL>,having-22,knowledge-25:recipient
nobody-11,admit-20,<NULL>
nobody-11,seems-18,<NULL>
nobody-11,lived-13,Germany-15:medium
nobody-11,lived-13,Nazism-17:prep_during
<NULL>,proves-5,difficult-6:object
nobody-1,befriends-2,Mrs-3:recipient
experiences-23,consumed-19,<NULL>
Bertholt_Marlene_Dietrich-1,offers-14,insights-16:recipient
<NULL>,remolding-17,image-19:recipient
city-22,become-25,<NULL>
Bertholt-1,focusing-3,keen-15:dependent
<NULL>,remolding-17,image-19:recipient
city-22,become-25,<NULL>
<NULL>,being-5,<NULL>
<NULL>,discuss-4,period-6:recipient
attempt-2,Mr-12,<NULL>
<NULL>,Mrs-2,<NULL>
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-20,focus-25,<NULL>
housekeepers-20,help-23,not-22:negative
housekeepers-20,help-23,can-21:modal_verb
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-20,focus-25,<NULL>
Halbestadt-1,lived-5,camp-10:prep_near
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-20,focus-25,<NULL>
housekeepers-20,help-23,not-22:negative
housekeepers-20,help-23,can-21:modal_verb
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-39,starved-41,poverty-43:compared_to
housekeepers-39,starved-41,nearly-40:modifier
housekeepers-20,focus-25,<NULL>
Halbestadt-1,proves-12,fruitless-14:object
hardships-26,brought-32,families-37:attachment
losses-28,brought-32,families-37:attachment
Germans-9,looking-11,not-14:dependent
Germans-9,looking-11,forward-12:modifier
hardships-26,brought-32,families-37:attachment
losses-28,brought-32,families-37:attachment
<NULL>,mattered-5,little-6:modifier
hardships-26,brought-32,families-37:attachment
losses-28,brought-32,families-37:attachment
Germans-9,recovering-22,<NULL>
hardships-26,brought-32,families-37:attachment
losses-28,brought-32,families-37:attachment
Germans-9,grappling-18,still-17:modifier
hardships-26,brought-32,families-37:attachment
losses-28,brought-32,families-37:attachment
anyone-2,knew-3,anything-4:recipient
<NULL>,gain-12,realities-16:modified_to
<NULL>,gain-12,insights-13:recipient
Haywood-7,have-8,opportunity-10:recipient
Haywood-7,have-8,Only-1:modifier
Haywood-7,have-8,will-5:is_participant_in
defendants-61,applied-58,law-55:recipient
defendants-61,applied-58,Nazism-63:prep_during
defendants-61,applied-58,ways-51:is_participant_in
defendants-61,applied-58,law-55:recipient
defendants-61,applied-58,Nazism-63:prep_during
defendants-61,applied-58,ways-51:is_participant_in
evidence-3,painted-45,picture-48:recipient
execution-33,painted-45,picture-48:recipient
<NULL>,having-39,relations-40:recipient
evidence-3,painted-45,picture-48:recipient
execution-33,painted-45,picture-48:recipient
orders-21,signed-22,b-18:dependent
orders-21,signed-22,defendants-25:time_between
defendants-61,applied-58,law-55:recipient
defendants-61,applied-58,Nazism-63:prep_during
defendants-61,applied-58,ways-51:is_participant_in
defendants-61,applied-58,law-55:recipient
