monsters-13,populated-10,entirely-11:modifier
story-2,takes-3,place-4:recipient
story-2,takes-3,Monstropolis-6:is_participant_in
<NULL>,be-13,<NULL>
Monstropolis-1,is-2,part-4:recipient
<NULL>,connected-14,Monstropolis-11:recipient
<NULL>,connected-14,bedrooms-18:attachment
<NULL>,connected-14,can-12:modal_verb
door-8,becomes-9,<NULL>
<NULL>,activated-6,properly-5:modifier
<NULL>,activated-6,When-1:modifier
<NULL>,activated-6,door-3:recipient
Inc.-11,provided-7,supply-5:recipient
company-15,employs-17,monsters-18:recipient
employees-31,scare-32,skills-33:recipient
employees-31,scare-32,employees-29:is_participant_in
areas-12,called-13,floors-15:recipient
company-2,has-3,warehouse-6:recipient
scarer-5,is-6,James_P-7:recipient
Sully_Sullivan-1,Michael_Mike_Wazowski-11,<NULL>
assistant-4,is-5,friend-9:recipient
rival-4,is-5,Randall_Boggs-6:recipient
CEO-12,is-13,<NULL>
Monstropolis-1,is-2,middle-5:is_participant_in
children-11,scare-15,<NULL>
<NULL>,used-18,<NULL>
<NULL>,activated-7,<NULL>
workday-16,ended-18,<NULL>
Sully-4,finds-5,door-8:recipient
Sully-4,finds-5,day-2:time
girl-16,follows-17,world-23:modified_to
girl-16,follows-17,Sully-18:recipient
girl-16,follows-17,back-19:verb_complement
Sully-1,finds-2,one-4:recipient
girl-6,delights-10,<NULL>
<NULL>,playing-12,<NULL>
girl-6,calls-7,Sully_Kitty-8:recipient
girl-6,delights-10,<NULL>
<NULL>,playing-12,<NULL>
<NULL>,being-3,<NULL>
girl-21,keeps-22,<NULL>
humans-4,are-5,<NULL>
girl-21,keeps-22,<NULL>
Randall-28,deactivates-30,eventually-29:modifier
Randall-28,deactivates-30,door-34:recipient
girl-21,keeps-22,<NULL>
Randall-28,stores-32,<NULL>
girl-21,keeps-22,<NULL>
<NULL>,stuck-39,world-43:is_participant_in
girl-21,keeps-22,<NULL>
<NULL>,leaving-36,girl-38:recipient
girl-21,keeps-22,<NULL>
monsters-2,believe-3,<NULL>
girl-21,keeps-22,<NULL>
Sully-9,tries-10,repeatedly-11:modifier
presence-4,becomes-5,<NULL>
<NULL>,find-16,Mike-17:recipient
Sully-9,sneaks-10,girl-11:recipient
Sully-9,sneaks-10,restaurant-14:modified_to
Monsters-20,hide-21,girl-22:recipient
Child_Detection_Agency-29,searches-30,girl-32:destination
he-9,slowly-10,bonds-11:recipient
Sully-1,names-3,Boo-6:recipient
Sully-1,names-3,eventually-2:modifier
girl-17,is-18,<NULL>
Boo-1,discovers-3,also-2:modifier
Boo-12,screams-13,<NULL>
laughter-6,produces-7,energy-10:recipient
Sully-5,sneak-13,work-16:modified_to
Sully-5,sneak-13,Boo-14:recipient
Sully-5,costume-11,morning-3:time
Mike_disguise_Boo-7,costume-11,morning-3:time
Mike-14,enters-15,when-13:modifier
Randall-1,agrees-2,<NULL>
Sullivan-27,is-28,<NULL>
device-11,extracts-13,<NULL>
